expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic
E010,695,72,Unlike(8.28); than(8.28); rather(7.56); like(6.80); as(6.09); once(5.22); those(5.11); behind(5.00); to(4.30); about(4.15); did(3.26); him(3.23); from(3.17); against(3.17); have(2.12); it(1.46); that(0.69); with(0.50); was(-0.04),89.8,2.312,,,
E011,1946,578,Samp(6.79); Gau(6.79); Dos(6.79); Pil(6.79); Bour(6.79); Lah(6.79); Kimber(6.79); Lom(6.79); Lak(6.79); Loren(6.79); McN(6.79); Jas(6.79); Butter(6.79); Tet(6.79); Sche(6.79); Fro(6.79); Kur(6.79); Mau(6.79); Hes(6.79); Tag(6.79); Dol(6.79); Ran(6.79); Ky(6.79); Ey(6.79); Mik(6.79); De(6.79); Jo(6.79); Sch(6.79); Ber(6.79); Mad(6.79); Lu(6.79); Par(6.79); Pe(6.79); Ste(6.79); Mus(6.79); Pat(6.79); Sou(6.79); Cam(6.79); Sam(6.79); Mer(6.79); Je(6.79); Hol(6.79); Mil(6.79); Ty(6.79); Che(6.79); Ru(6.79); Haw(6.79); Gar(6.79); Sto(6.79); Hu(6.79),19.8,5.692,,,
E012,3755,549,MCA(5.84); RF(5.84); OM(5.84); Miy(5.84); Bf(5.84); Chick(5.84); NZ(5.84); PD(5.84); Nathan(5.84); BL(5.84); Chi(5.84); Jin(5.84); HP(5.84); CT(5.84); OD(5.84); AN(5.84); IN(5.84); Sel(5.84); Lieutenant(5.84); AD(5.84); CR(5.84); CE(5.84); Cape(5.84); DC(5.84); VI(5.84); AI(5.84); Steven(5.84); TA(5.84); Ta(5.84); Baby(5.84); USS(5.84); CS(5.84); Sn(5.84); OS(5.84); AP(5.84); HS(5.84); RT(5.84); Grade(5.84); LS(5.84); Steve(5.84); UN(5.84); £(5.84); Q(5.84); 板(5.84); ′(5.84); ♭(5.84); George(5.84); Robert(5.84); Henry(5.84); Star(5.84),10.1,5.232,,,
E013,1379,19,"“(7.29); (""(7.29); ""(7.29); ""...(7.29); ](7.24); ""[(6.80); This(3.70); )(3.28); ((1.09); '(0.63)",99.2,0.518,,,
E014,1526,392,fullback(7.14); Viscount(7.14); sage(7.14); Commanding(7.14); rower(7.14); murderer(7.14); logist(7.14); nominee(7.14); defendant(7.14); assassin(7.14); mentor(7.14); Democrat(7.14); activist(7.14); Historian(7.14); freshman(7.14); Sultan(7.14); Leader(7.14); receiver(7.14); Chancellor(7.14); supporter(7.14); referee(7.14); CEO(7.14); attorney(7.14); Officer(7.14); Marshal(7.14); Attorney(7.14); Judge(7.14); DJ(7.14); Count(7.14); songwriter(7.14); ruler(7.14); ist(7.14); brother(7.14); director(7.14); expert(7.14); soldier(7.14); Professor(7.14); secretary(7.14); guitarist(7.14); merchant(7.14); citizen(7.14); musician(7.14); flagship(7.14); Player(7.14); professor(7.14); mayor(7.14); emperor(7.14); lord(7.14); Commander(7.14); judge(7.14),20.7,5.397,,,
E015,2751,376,extraordinary(6.29); overwhelming(6.29); Large(6.29); modest(6.29); occasional(6.29); loose(6.29); elaborate(6.29); fewer(6.29); scattered(6.29); isolated(6.29); twin(6.29); vast(6.29); sharp(6.29); joint(6.29); tall(6.29); fine(6.29); considerable(6.29); huge(6.29); wooden(6.29); thousand(6.29); detailed(6.29); frequent(6.29); distinct(6.29); unusual(6.29); massive(6.29); permanent(6.29); widespread(6.29); broad(6.29); big(6.29); larger(6.29); brief(6.29); greater(6.29); multiple(6.29); separate(6.29); numerous(6.29); severe(6.29); rapid(6.29); grand(6.29); smaller(6.29); hundred(6.29); rare(6.29); powerful(6.29); unique(6.29); extensive(6.29); simple(6.29); different(6.29); small(6.29); special(6.29); significant(6.29); temporary(6.29),14.8,4.635,,,
E016,2320,178,05(6.54); October(6.54); August(6.54); July(6.54); June(6.54); February(6.54); March(6.54); April(6.54); January(6.54); December(6.54); November(6.54); September(6.54); May(6.54); 00(6.45); 11(6.33); 17(6.29); 21(6.27); 18(6.26); 22(6.23); 19(6.21); 12(6.20); 1939(6.12); 1904(6.12); 1870(6.05); 1943(5.95); 1937(5.95); 1916(5.95); 13(5.91); 10(5.90); 1917(5.89); 14(5.87); 1944(5.86); 23(5.85); 24(5.83); 26(5.83); 25(5.81); 16(5.81); 3(5.78); 20(5.77); 8(5.77); 31(5.74); 27(5.72); 1968(5.69); 7(5.68); 28(5.64); 30(5.63); 1942(5.63); 9(5.63); 15(5.61); 1(5.59),80.6,4.121,,,
E017,2371,8,the(4.54); The(2.29),99.7,0.164,,,
E018,3237,1360,ked(6.06); ages(6.06); defeats(6.06); likes(6.06); evacuate(6.06); communicate(6.06); loses(6.06); climbed(6.06); broadcasts(6.06); splits(6.06); ned(6.06); changed(6.06); married(6.06); aging(6.06); abandon(6.06); defend(6.06); calls(6.06); filming(6.06); rank(6.06); encounters(6.06); counts(6.06); compiled(6.06); listing(6.06); reporting(6.06); participating(6.06); transformed(6.06); distinguish(6.06); allocated(6.06); jumping(6.06); protect(6.06); viewed(6.06); recover(6.06); watched(6.06); identify(6.06); kills(6.06); programming(6.06); preparing(6.06); liked(6.06); raise(6.06); operate(6.06); votes(6.06); ratings(6.06); dating(6.06); adults(6.06); wins(6.06); watching(6.06); learning(6.06); covers(6.06); seats(6.06); sank(6.06),7.9,6.780,,,
E019,2747,9,and(5.77); or(5.40); than(1.03); but(0.67),99.7,0.212,,,
E020,2896,496,inflicting(6.22); invalid(6.22); repulsed(6.22); endured(6.22); explicitly(6.22); intentionally(6.22); suddenly(6.22); virtually(6.22); inflicted(6.22); openly(6.22); demanding(6.22); ignored(6.22); accidentally(6.22); lacked(6.22); clearly(6.22); repeatedly(6.22); similarly(6.22); demanded(6.22); personally(6.22); merely(6.22); underwent(6.22); requiring(6.22); effectively(6.22); obtained(6.22); recently(6.22); entirely(6.22); require(6.22); simply(6.22); twice(6.22); avoid(6.22); cannot(6.22); temporarily(6.22); withdrew(6.22); eliminated(6.22); requested(6.22); attempting(6.22); apparently(6.22); prevented(6.22); rejected(6.22); significantly(6.22); easily(6.22); increasingly(6.22); quite(6.22); almost(6.22); largely(6.22); unable(6.22); refused(6.22); finally(6.22); obtain(6.22); becomes(6.22),10.8,5.235,,,
E021,1394,158,moments(7.27); occasions(7.27); decades(7.27); afternoon(7.27); weekend(7.27); seconds(7.27); occasion(7.27); spring(7.27); centuries(7.27); moment(7.27); hour(7.27); months(7.27); month(7.27); night(7.27); years(7.27); hundred(7.27); winter(7.27); summer(7.27); century(7.27); times(7.27); hours(7.27); decade(7.27); laps(7.27); weeks(7.27); morning(7.27); lap(7.27); week(7.27); year(7.27); period(7.27); days(7.27); minutes(7.27); minute(7.27); time(7.27); day(7.27); distance(7.27); evening(7.27); way(7.22); era(7.15); point(6.99); season(6.93); lengths(6.86); Years(6.86); phase(6.27); trip(6.27); round(6.08); reason(6.05); games(6.01); result(5.79); half(5.56); mile(5.42),84.9,3.877,,,
E022,1678,640,Easy(7.00); Confessions(7.00); Aw(7.00); Blind(7.00); Knock(7.00); Help(7.00); Krusty(7.00); Brother(7.00); Slam(7.00); Have(7.00); Zoo(7.00); Believe(7.00); Kiss(7.00); Name(7.00); Money(7.00); Mom(7.00); Sor(7.00); Come(7.00); Beautiful(7.00); Who(7.00); Walk(7.00); Die(7.00); Ple(7.00); Baby(7.00); Back(7.00); Where(7.00); Must(7.00); Woman(7.00); Greatest(7.00); Us(7.00); Love(7.00); Oh(7.00); Up(7.00); Hung(7.00); Do(7.00); outh(7.00); Is(7.00); Rich(7.00); Mean(7.00); Good(7.00); What(7.00); Bad(7.00); Are(7.00); Streets(6.93); Live(6.90); Exit(6.87); Bart(6.87); Off(6.87); Day(6.86); Stone(6.85),24.3,5.939,,,
E023,907,166,done(7.89); here(7.89); doing(7.89); do(7.89); did(7.89); Do(7.89); does(7.79); mo(7.67); undertaken(7.48); gone(7.48); go(6.96); 89(6.89); followed(6.75); times(6.60); went(6.59); say(6.48); so(6.37); fl(6.31); un(6.02); m(5.99); So(5.89); there(5.89); h(5.87); In(5.84); de(5.83); All(5.64); himself(5.63); what(5.40); make(5.39); same(5.28); how(5.14); pre(4.94); will(4.89); him(4.85); o(4.62); performed(4.62); $(4.39); War(4.32); per(4.31); them(4.29); d(4.27); or(4.23); this(4.20); just(4.17); made(4.14); time(4.10); As(3.91); about(3.76); such(3.64); well(3.63),75.7,4.204,,,
E024,3041,995,ý(6.15); xi(6.15); Nationalist(6.15); ian(6.15); imo(6.15); Malaysian(6.15); yah(6.15); erner(6.15); akon(6.15); onda(6.15); iston(6.15); Superior(6.15); psilon(6.15); mie(6.15); ome(6.15); ite(6.15); outh(6.15); ron(6.15); ident(6.15); ual(6.15); ese(6.15); eral(6.15); ane(6.15); lis(6.15); addy(6.15); enne(6.15); atsu(6.15); anga(6.15); idan(6.15); terrorist(6.15); idian(6.15); Ely(6.15); polis(6.15); ouse(6.15); ctor(6.15); ina(6.15); Peru(6.15); igo(6.15); ichi(6.15); ente(6.15); sham(6.15); yan(6.15); alia(6.15); izer(6.15); phic(6.15); ister(6.15); que(6.15); aster(6.15); acy(6.15); mater(6.15),13.0,6.226,,,
E025,2386,380,unsure(6.50); sheer(6.50); farther(6.50); cheap(6.50); anywhere(6.50); keen(6.50); slower(6.50); considerably(6.50); virtually(6.50); remote(6.50); sad(6.50); vast(6.50); pretty(6.50); Much(6.50); considerable(6.50); strongly(6.50); opposite(6.50); greatly(6.50); wrong(6.50); immediate(6.50); closer(6.50); roughly(6.50); significantly(6.50); anything(6.50); everything(6.50); higher(6.50); slight(6.50); something(6.50); nearly(6.50); largely(6.50); greater(6.50); relatively(6.50); slightly(6.50); shortly(6.50); nothing(6.50); quite(6.50); closely(6.50); almost(6.50); too(6.50); rough(6.50); present(6.50); right(6.50); very(6.50); still(6.50); much(6.50); close(6.50); far(6.50); little(6.50); enough(6.50); what(6.46),25.4,5.038,,,
E026,1383,430,numbering(7.28); encing(7.28); turning(7.28); holding(7.28); ing(7.28); ize(7.28); ling(7.28); ting(7.28); ating(7.28); gged(7.28); acking(7.28); ashing(7.28); amped(7.28); examining(7.28); founding(7.28); icing(7.28); mining(7.28); putting(7.28); burning(7.28); apping(7.28); breaking(7.28); bling(7.28); covering(7.28); raising(7.28); describing(7.28); fitting(7.28); rowing(7.28); eping(7.28); stopping(7.28); pointing(7.28); ding(7.28); adding(7.28); keeping(7.28); elling(7.28); ising(7.28); cing(7.28); asing(7.28); inning(7.28); ning(7.28); ming(7.28); ying(7.28); iting(7.28); aving(7.28); aking(7.28); using(7.28); ering(7.28); aging(7.28); ening(7.28); ging(7.28); cting(7.28),33.9,5.196,,,
E027,671,37,"This(8.33); this(8.23); It(6.80); These(6.66); However(6.19); these(6.02); ).(5.55); both(4.54); As(3.67); it(3.60); .(3.24); there(3.16); which(1.26); ""(0.36); that(0.01); ,(-2.42)",96.0,2.100,,,
E028,3485,37,"'.""(5.95); ($(5.95); (""(5.95); .""(5.94); "".(5.93); ((5.90); !.(5.59); '.(5.54); .(4.69); ).(4.10); According(3.14); When(2.21); ;(2.03); As(1.56); ""(0.42); [PAD](-3.51)",99.3,1.252,,,
E029,1450,100,prior(7.22); Following(7.22); After(7.22); following(7.22); after(7.20); November(7.19); before(7.17); December(7.17); October(7.16); since(7.13); September(6.79); later(6.52); despite(6.48); August(6.39); February(6.22); finally(6.10); beginning(6.09); until(5.91); July(5.63); April(5.58); January(5.51); June(5.48); earlier(5.31); surrounding(5.31); Despite(5.22); shortly(5.13); soon(5.10); May(4.67); early(4.48); once(4.16); during(4.06); without(3.93); 2008(3.85); due(3.76); when(3.64); east(3.43); along(3.24); late(3.19); by(3.10); next(2.89); began(2.89); March(2.82); there(2.78); day(2.77); United(2.34); :(2.30); did(2.20); around(2.19); about(2.09); to(1.43),93.7,3.503,,,
E030,2859,803,fire(6.24); rifle(6.24); muzzle(6.24); Artillery(6.24); helicopters(6.24); shelters(6.24); mortar(6.24); gunfire(6.24); drought(6.24); decks(6.24); shortages(6.24); miles(6.24); damage(6.24); load(6.24); flood(6.24); tons(6.24); torpedo(6.24); bombardment(6.24); engineers(6.24); sailors(6.24); jam(6.24); pounder(6.24); missile(6.24); artillery(6.24); equipment(6.24); fuel(6.24); vehicles(6.24); flooding(6.24); trains(6.24); casualties(6.24); losses(6.24); acres(6.24); personnel(6.24); supplies(6.24); engines(6.24); beats(6.24); density(6.24); reinforcements(6.24); precipitation(6.24); boilers(6.24); pound(6.24); rains(6.24); velocity(6.24); knots(6.24); tanks(6.24); shots(6.24); snow(6.24); armour(6.24); warning(6.24); ammunition(6.24),16.1,6.013,,,
E031,2329,838,prowess(6.53); Ethiopia(6.53); healthcare(6.53); bamboo(6.53); rabbits(6.53); endurance(6.53); liquor(6.53); prohibition(6.53); rabbit(6.53); manpower(6.53); firearms(6.53); toe(6.53); anity(6.53); terrorism(6.53); edible(6.53); gunpowder(6.53); smallpox(6.53); chick(6.53); rifles(6.53); pneumonia(6.53); hunters(6.53); treasure(6.53); drought(6.53); celebrity(6.53); darkness(6.53); tennis(6.53); mercury(6.53); odor(6.53); gunfire(6.53); whites(6.53); mobility(6.53); mortar(6.53); soccer(6.53); immigration(6.53); enthusiasm(6.53); imagination(6.53); trout(6.53); thunderstorms(6.53); torture(6.53); cook(6.53); AIDS(6.53); muzzle(6.53); powder(6.53); precipitation(6.53); gear(6.53); cattle(6.53); dust(6.53); rations(6.53); timber(6.53); industries(6.53),9.1,6.251,,,
E032,4788,749,14th(5.49); exit(5.49); 8th(5.49); 6th(5.49); Mediterranean(5.49); 13th(5.49); 140(5.49); decade(5.49); 1930s(5.49); 1932(5.49); Classic(5.49); Western(5.49); Year(5.49); Great(5.49); southeastern(5.49); Northeast(5.49); 1840s(5.49); epic(5.49); Southeast(5.49); Northern(5.49); Tropical(5.49); Middle(5.49); 1980s(5.49); Operation(5.49); Eastern(5.49); 1950s(5.49); reign(5.49); March(5.47); February(5.44); 100(5.39); 9th(5.38); Atlantic(5.37); Interstate(5.35); Central(5.35); eastern(5.35); Late(5.34); April(5.33); mainland(5.32); 110(5.32); southern(5.32); Game(5.31); past(5.30); June(5.30); 1920s(5.30); western(5.29); West(5.29); July(5.27); tropical(5.27); Lower(5.27); album(5.25),16.5,5.729,,,
E033,2043,346,rik(6.72); nic(6.72); vor(6.72); ox(6.72); iv(6.72); ff(6.72); ust(6.72); ok(6.72); mon(6.72); ign(6.72); az(6.72); rop(6.72); om(6.72); oc(6.72); ut(6.72); ol(6.72); id(6.72); ig(6.72); ur(6.72); tim(6.72); ug(6.72); aj(6.72); uk(6.72); rap(6.72); ov(6.72); mat(6.72); ram(6.72); og(6.72); yan(6.72); gh(6.72); ad(6.72); ast(6.72); est(6.72); ct(6.72); y(6.72); il(6.72); ther(6.72); ak(6.72); ern(6.72); gg(6.72); aul(6.72); ik(6.72); cer(6.72); ush(6.72); gy(6.72); af(6.72); ot(6.72); ob(6.72); ach(6.72); et(6.72),33.3,4.892,,,
E034,934,48,mi(7.69); m(7.55); km(7.37); st(6.81); s(6.40); l(5.75); als(5.68); them(5.47); p(5.41); per(5.00); /(4.60); '(4.40); t(4.36); g(4.08); its(3.75); him(2.81); ing(2.62); an(1.95); a(-1.16); the(-3.28),95.9,2.084,,,
E035,2299,21,";(6.16); .,(6.14); "";(6.06); !,(6.06); ,(4.79); "",(4.19); ),(3.71); that(-1.36)",99.3,0.522,,,
E036,1310,147,comprised(7.36); comprising(7.36); consisting(7.36); plus(7.36); included(7.36); including(7.36); involving(7.36); entitled(7.36); involve(7.36); containing(7.36); contain(7.36); contained(7.36); featuring(7.36); contains(7.36); except(7.36); includes(7.36); titled(7.36); Like(7.36); like(7.36); include(7.36); based(7.28); features(7.18); consists(7.14); bearing(7.04); featured(7.03); especially(7.00); numbered(6.98); consisted(6.95); lacked(6.95); meets(6.88); such(6.87); alongside(6.86); intersects(6.66); meant(6.62); follows(6.62); numbering(6.55); named(6.55); called(6.49); carrying(6.36); renamed(6.36); specifically(6.36); particularly(6.14); than(5.98); known(5.93); commanded(5.78); involved(5.67); as(5.59); inspired(5.45); example(5.45); according(4.86),83.4,3.683,,,
E037,3197,747,ailed(6.07); prompting(6.07); interrupted(6.07); suited(6.07); undertook(6.07); rushed(6.07); manages(6.07); relating(6.07); instructed(6.07); appealed(6.07); endorsed(6.07); motivated(6.07); sparked(6.07); followed(6.07); caused(6.07); lled(6.07); leading(6.07); joined(6.07); allowed(6.07); replaced(6.07); bound(6.07); transported(6.07); blocked(6.07); sponsored(6.07); operates(6.07); escorted(6.07); sentenced(6.07); tasked(6.07); relieved(6.07); aided(6.07); join(6.07); supported(6.07); helped(6.07); marked(6.07); compared(6.07); inated(6.07); inspired(6.07); elected(6.07); submitted(6.07); replacing(6.07); drove(6.07); heading(6.07); backed(6.07); challenged(6.07); ported(6.07); donated(6.07); supplied(6.07); ashed(6.07); advised(6.07); pointed(6.07),12.8,5.932,,,
E038,2095,824,Console(6.68); docks(6.68); broadcasts(6.68); Disc(6.68); scholarship(6.68); velocity(6.68); radius(6.68); warning(6.68); website(6.68); albums(6.68); rating(6.68); sales(6.68); throne(6.68); charts(6.68); rate(6.68); Awards(6.68); chart(6.68); ports(6.68); bases(6.53); limit(6.46); trip(6.42); graphics(6.42); music(6.41); Islands(6.39); tracks(6.39); ures(6.36); demographic(6.36); onies(6.36); outs(6.27); titles(6.27); treaty(6.27); market(6.27); copies(6.27); imprisonment(6.27); counts(6.27); consoles(6.27); industry(6.27); Movement(6.27); kilometer(6.27); renumbering(6.27); contingent(6.20); kilometres(6.10); programme(6.10); singles(6.10); rocks(6.10); System(6.10); ams(6.10); winds(6.01); missions(5.98); sessions(5.95),13.4,6.265,,,
E039,2679,916,Air(6.33); Experiment(6.33); Game(6.33); Appeals(6.33); Landing(6.33); Care(6.33); Entertainment(6.33); Museum(6.33); Wind(6.33); Art(6.33); Law(6.33); Blind(6.33); News(6.33); Fan(6.33); Protection(6.33); Lead(6.33); Mean(6.33); Post(6.33); Football(6.33); Land(6.33); Transit(6.33); Disc(6.33); Hat(6.33); Shop(6.33); Clear(6.33); Kiss(6.33); Paper(6.33); Zoo(6.33); Stock(6.33); Flight(6.33); Iron(6.33); Network(6.33); Transport(6.33); Journal(6.33); Forest(6.33); Project(6.33); Labor(6.33); Investig(6.33); Settle(6.33); Development(6.33); Justice(6.33); Social(6.33); Dance(6.33); Drama(6.33); Home(6.33); Beat(6.33); Register(6.33); Money(6.33); Impact(6.33); Body(6.33),15.2,6.338,,,
E040,3436,445,nevertheless(5.97); annually(5.97); decades(5.97); velocity(5.97); 800(5.97); twice(5.97); respectively(5.97); million(5.97); initially(5.97); again(5.97); %(5.93); 500(5.92); 400(5.89); 300(5.87); years(5.85); 000(5.83); 700(5.82); usually(5.82); percent(5.82); minutes(5.81); 600(5.80); might(5.80); helped(5.80); Originally(5.78); minute(5.78); days(5.76); months(5.76); today(5.75); gradually(5.75); soon(5.73); weeks(5.72); briefly(5.71); accidentally(5.71); 370(5.65); 750(5.65); 900(5.65); decade(5.56); typically(5.56); subsequently(5.56); may(5.54); hours(5.46); seconds(5.46); year(5.44); cannot(5.39); 123(5.35); times(5.30); slowly(5.29); will(5.29); sometimes(5.27); reportedly(5.23),26.6,4.777,,,
E041,1743,108,"merge(6.95); comprising(6.95); %,(6.95); combined(6.95); consisting(6.95); together(6.87); combination(6.69); consisted(6.63); plus(6.53); varied(6.21); equivalent(6.21); contributed(5.25); total(5.20); managed(4.95); associated(4.83); increased(4.81); ,(4.64); —(4.01); forced(3.73); led(3.65); included(3.65); along(3.49); both(3.38); known(3.14); "",(2.64); ((2.56); ),(1.91); only(1.85); made(1.78); including(1.77); well(1.69); were(1.12); had(0.96); who(0.86); –(0.83); ""(-0.76); with(-1.24)",95.1,1.323,,,
E042,2072,311,concurrently(6.70); likewise(6.70); meanwhile(6.70); Afterwards(6.70); explicitly(6.70); consequently(6.70); openly(6.70); physically(6.70); steadily(6.70); accidentally(6.70); nevertheless(6.70); suddenly(6.70); extensively(6.70); personally(6.70); Originally(6.70); Finally(6.70); Eventually(6.70); repeatedly(6.70); publicly(6.70); temporarily(6.70); clearly(6.70); formally(6.70); afterwards(6.70); Thus(6.70); elsewhere(6.70); rarely(6.70); Then(6.70); normally(6.70); Soon(6.70); gradually(6.70); Instead(6.70); slowly(6.70); regularly(6.70); Now(6.70); occasionally(6.70); effectively(6.70); neither(6.70); today(6.70); briefly(6.70); twice(6.70); currently(6.70); therefore(6.70); officially(6.70); shortly(6.70); frequently(6.70); increasingly(6.70); none(6.70); Shortly(6.70); easily(6.70); Once(6.70),13.0,4.554,,,
E043,3848,949,monuments(5.81); trails(5.81); gill(5.81); cage(5.81); pyramid(5.81); airfield(5.81); panels(5.81); gallery(5.81); dome(5.81); corridor(5.81); Range(5.81); document(5.81); park(5.81); eye(5.81); temples(5.81); seal(5.81); roadway(5.81); rings(5.81); vessel(5.81); pack(5.81); garage(5.81); axis(5.81); stair(5.81); table(5.81); facility(5.81); wreck(5.81); footage(5.81); layer(5.81); beam(5.81); sculpture(5.81); portrait(5.81); convoy(5.81); kingdom(5.81); extension(5.81); chapel(5.81); mountains(5.81); circle(5.81); plane(5.81); Trail(5.81); summit(5.81); platforms(5.81); museum(5.81); strip(5.81); expedition(5.81); tower(5.81); cliffs(5.81); emblem(5.81); colony(5.81); treaty(5.81); loop(5.81),9.3,6.190,,,
E044,1214,301,gills(7.47); Quinn(7.47); myself(7.47); communities(7.47); Egypt(7.47); MDOT(7.28); friends(7.25); Britain(7.23); Slater(7.21); Marge(7.15); Greece(7.15); Philadelphia(7.15); Texas(7.15); Angle(7.10); France(7.06); him(7.00); himself(6.89); Homer(6.89); businesses(6.89); Delaware(6.83); Spain(6.82); alone(6.82); themselves(6.76); firm(6.73); McCartney(6.69); Ireland(6.69); itself(6.62); herself(6.60); Bobby(6.58); me(6.53); again(6.53); them(6.48); Kevin(6.47); Germany(6.35); Karen(6.30); Malaysia(6.30); Americans(6.25); Springfield(6.25); Turner(6.20); Styles(6.12); it(6.09); Madonna(6.07); Bart(6.01); Japan(5.93); Kurt(5.62); Iraq(5.47); Carey(5.41); Zimbabwe(5.36); Europe(5.30); downtown(5.15),61.9,4.579,,,
