expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E014,578,15,"had(8.54); has(3.71); been(2.95); were(2.45); '(1.51); was(-0.10); of(-0.43); the(-0.68); ,(-2.62)",98.6,0.647,,,,9,auxiliary verbs,syntactic,9,auxiliary verbs,syntactic,6,"auxiliary ""had""",syntactic
E015,1746,30,"s(6.88); At(5.07); t(4.87); .(3.26); '(3.23); re(2.89); most(2.56); m(1.59); As(1.56); ((1.34); its(1.26); In(0.84); The(-0.51); to(-0.92); ""(-1.76); and(-2.13); the(-3.01); of(-3.44)",99.1,1.239,,,,2,mixed/unclear,mixed,7,contractions,syntactic,3,mixed subwords/punct,mixed
E016,55709,198,Regardless(1.95); Indeed(1.95); Afterwards(1.95); Moving(1.95); Given(1.95); Almost(1.95); Starting(1.95); Yet(1.95); Consequently(1.95); Inside(1.95); Until(1.95); Without(1.95); Beginning(1.95); Past(1.95); Still(1.95); Where(1.95); Finally(1.95); Once(1.95); Eventually(1.95); Originally(1.95); Such(1.95); Critics(1.95); Then(1.95); Soon(1.95); Having(1.95); Along(1.95); Nevertheless(1.95); Late(1.95); Thus(1.95); Around(1.95); Prior(1.95); Unlike(1.95); Within(1.95); Also(1.95); Additionally(1.95); Now(1.95); Throughout(1.95); Instead(1.95); About(1.95); Shortly(1.95); Here(1.95); Among(1.95); Early(1.95); Between(1.95); Each(1.95); Further(1.95); Due(1.95); Meanwhile(1.95); Even(1.95); On(1.95),0.8,0.359,,,,10,transitions/adverbs,semantic,9,discourse markers,syntactic,8,sentence-initial adverbs,syntactic
E017,515,42,"playing(8.71); played(8.71); play(8.71); two(8.70); player(5.97); three(5.00); also(4.20); both(3.92); after(3.37); been(2.38); the(1.04); by(0.95); ,(-1.04); of(-1.27)",93.0,2.001,,,,7,sports/games,semantic,7,play terms,semantic,6,play/sports,mixed
E018,2269,170,HD(6.57); 83(6.57); 63(6.57); 69(6.57); 62(6.57); 72(6.57); 61(6.57); 59(6.57); 87(6.57); 86(6.57); 89(6.57); 67(6.57); 57(6.57); 54(6.57); 68(6.57); 34(6.57); 48(6.57); 65(6.57); 51(6.57); 52(6.57); 88(6.57); 56(6.57); 58(6.57); 77(6.57); 43(6.57); 96(6.57); 66(6.57); 85(6.57); 42(6.57); 41(6.57); 64(6.57); 32(6.57); 39(6.57); 49(6.57); 78(6.57); 44(6.57); 47(6.57); 46(6.57); 55(6.57); 35(6.57); 70(6.57); 45(6.57); 90(6.57); 33(6.57); 36(6.57); 37(6.57); 38(6.57); 9(6.57); /(6.57); 00(6.57),31.6,4.343,,,,10,numbers,syntactic,10,numbers,syntactic,9,two-digit numbers,syntactic
E019,317,14,"are(9.41); will(6.82); were(6.30); may(5.45); is(2.18); of(-0.98); the(-1.13); ,(-1.34)",97.5,1.105,,,,10,auxiliary verbs,syntactic,9,auxiliary verbs,syntactic,6,copula/auxiliary verbs,syntactic
E020,12489,104,whether(4.11); past(4.11); either(4.11); how(4.11); behind(4.11); under(4.11); so(4.11); than(4.11); into(4.11); then(4.11); between(4.11); including(4.11); being(4.11); both(4.11); there(4.11); just(4.11); what(4.11); having(4.11); further(4.11); to(4.11); up(4.11); which(4.11); all(4.11); for(4.11); with(4.11); that(4.11); by(4.11); if(4.11); while(4.11); only(4.11); after(4.10); about(4.10); where(4.10); following(4.09); who(4.08); when(4.08); from(4.07); among(4.06); more(4.06); though(4.04); even(4.02); before(4.01); within(3.98); out(3.98); whom(3.96); through(3.96); be(3.93); towards(3.86); most(3.84); whose(3.82),93.5,3.239,,,,10,prepositions/conjunctions,syntactic,9,function words,syntactic,5,function words/preps,syntactic
E021,494,74,"soon(8.77); series(8.77); worked(8.77); working(8.77); track(8.73); work(8.50); project(8.22); show(8.02); tracks(7.89); title(6.01); found(5.38); would(5.28); later(5.19); also(4.88); top(4.77); team(4.43); had(4.30); her(4.09); has(3.12); their(2.54); for(1.36); '(-0.00); ,(-0.07); the(-0.19)",86.4,3.287,,,,7,entertainment/work,semantic,7,work/projects,semantic,5,work/project terms,mixed
E022,1,1,which(9.06),100.0,-0.000,,,,10,relative pronoun,syntactic,10,relative pronoun,syntactic,6,which relative,syntactic
E023,713,19,at(8.24); ((0.31); for(0.09); to(-1.74); the(-1.89),97.8,0.308,,,,7,prepositions/punctuation,syntactic,8,preposition,syntactic,5,at preposition,syntactic
E024,159,67,orchestrated(10.40); arranged(10.40); Ma(10.23); Hall(10.08); multi(9.82); according(9.64); leading(8.60); International(7.60); aka(7.35); $(7.32); system(6.90); 11(6.68); 16(6.01); Australia(5.40); for(3.26),54.7,3.780,,,,5,music/organization,semantic,7,music production,semantic,3,mixed/unclear,mixed
E025,5,3,with(6.62); to(3.83); the(3.27),100.0,1.055,,,,10,function words,syntactic,8,prepositions,syntactic,4,"with/""to""/""the""",syntactic
E026,1941,365,1797(6.79); Nevada(6.79); ER(6.79); cable(6.79); 02(6.79); Nova(6.79); Sin(6.79); HD(6.79); Type(6.79); opportunity(6.79); cat(6.79); 93(6.79); Brazil(6.79); Dragon(6.79); rights(6.79); addition(6.79); England(6.79); times(6.79); mm(6.79); Age(6.79); Tropical(6.79); Russia(6.79); twice(6.79); kg(6.79); tons(6.79); type(6.79); proper(6.79); 32(6.79); quality(6.79); inches(6.79); player(6.79); television(6.79); feet(6.79); TV(6.79); ½(6.79); 18(6.79); South(6.79); City(6.73); ball(6.72); Colorado(6.61); BBC(6.60); Africa(6.58); water(6.58); 141(6.57); Irish(6.57); freedom(6.57); Sun(6.57); York(6.54); square(6.51); Mexico(6.44),40.1,5.021,,,,2,mixed/unclear,mixed,3,mixed/unclear,mixed,2,random mixed tokens,mixed
E027,3096,17,a(6.12); an(5.95); the(-2.48); of(-3.27),99.5,0.527,,,,10,articles,syntactic,10,articles,syntactic,7,indefinite article,syntactic
E028,8276,29,".)(4.70); "";(4.70); which(4.70); .""(4.70); ).(4.70); that(4.70); "".(4.70); .(4.70); :(4.69); ;(4.69); "",(4.54); '.(4.29); );(4.29); ),(3.78); )(3.17); ,""(3.06); –(0.46); —(-0.24); [PAD](-2.54); ((-2.82); ,(-6.05)",99.8,1.469,,,,8,punctuation/conjunctions,syntactic,10,punctuation,syntactic,7,sentence-end punctuation,syntactic
E029,2704,380,aller(6.32); bin(6.32); bay(6.32); iner(6.32); cher(6.32); pin(6.32); iron(6.32); path(6.32); ager(6.32); dog(6.32); pen(6.32); lie(6.32); mel(6.32); dy(6.32); pil(6.32); ben(6.32); wick(6.32); kin(6.32); log(6.32); ole(6.32); den(6.32); ler(6.32); ger(6.32); ci(6.32); leg(6.32); tal(6.32); sk(6.32); ster(6.32); ham(6.32); ator(6.32); que(6.32); rent(6.32); gar(6.32); tar(6.32); stone(6.32); sty(6.32); gy(6.32); ner(6.32); ier(6.32); ar(6.32); f(6.32); ic(6.32); g(6.32); ch(6.32); ow(6.32); ter(6.32); st(6.32); le(6.32); ac(6.32); il(6.32),23.5,5.252,,,,9,subwords/fragments,syntactic,8,subword fragments,syntactic,7,subword suffixes,syntactic
E030,17,4,of(4.24); the(3.50),82.4,1.141,,,,10,function words,syntactic,10,articles,syntactic,4,"of/""the""",syntactic
E031,15051,55,toward(3.84); alongside(3.84); onto(3.84); across(3.84); among(3.84); during(3.84); through(3.84); under(3.84); like(3.84); with(3.84); into(3.84); over(3.84); to(3.84); around(3.84); upon(3.84); up(3.84); after(3.84); towards(3.84); as(3.84); out(3.84); by(3.84); for(3.84); when(3.84); between(3.84); near(3.84); about(3.84); off(3.84); at(3.84); from(3.84); on(3.84); in(3.83); against(3.83); before(3.81); along(3.80); following(3.80); behind(3.79); above(3.76); throughout(3.66); within(3.51); until(3.49); below(3.30); outside(3.22); without(2.80); due(2.75); than(2.67); since(2.00); via(1.84); down(-0.60); back(-0.83); while(-1.68),100.0,2.771,,,,10,prepositions,syntactic,10,prepositions,syntactic,9,prepositions,syntactic
E032,4994,265,Confederate(5.43); Turkish(5.43); Asian(5.43); Irish(5.43); historical(5.43); literary(5.43); Welsh(5.43); Republican(5.43); regional(5.43); cultural(5.43); nearby(5.43); Latin(5.43); foreign(5.43); economic(5.43); federal(5.43); Major(5.43); financial(5.43); sexual(5.43); Scottish(5.43); Italian(5.43); religious(5.43); French(5.43); those(5.43); short(5.43); German(5.43); real(5.43); single(5.43); public(5.43); European(5.43); political(5.43); human(5.43); English(5.43); popular(5.43); various(5.43); Japanese(5.43); musical(5.43); radio(5.43); native(5.43); gold(5.43); football(5.43); social(5.43); minor(5.43); latter(5.43); Chinese(5.43); Soviet(5.43); Spanish(5.43); legal(5.43); commercial(5.43); Canadian(5.43); numerous(5.43),18.7,4.402,,,,10,adjectives/categories,semantic,8,adjectives,syntactic,7,adjectives/nationalities,mixed
E033,1961,256,weekly(6.78); Sunday(6.78); gross(6.78); lowest(6.78); fastest(6.78); remaining(6.78); highest(6.78); regular(6.78); average(6.78); spring(6.78); greatest(6.78); Christmas(6.78); worldwide(6.78); annual(6.78); summer(6.78); winter(6.78); February(6.78); month(6.78); $(6.78); year(6.78); season(6.78); December(6.78); April(6.78); November(6.78); March(6.78); July(6.78); September(6.78); June(6.78); October(6.78); May(6.78); August(6.78); £(6.78); week(6.78); best(6.78); January(6.78); peak(6.59); ($(6.59); sixteen(6.46); 29(6.45); longest(6.36); previous(6.19); largest(6.12); fourteen(6.04); total(6.03); strongest(5.97); additional(5.97); overall(5.89); 27(5.78); 1938(5.78); scoring(5.78),72.3,4.427,,,,10,time/statistics,semantic,8,time/statistics,semantic,7,time/superlatives,mixed
E034,3473,707,ugg(5.96); rome(5.96); mont(5.96); fil(5.96); ir(5.96); ano(5.96); bul(5.96); rit(5.96); igh(5.96); lor(5.96); ere(5.96); ith(5.96); ram(5.96); bin(5.96); ico(5.96); tel(5.96); comb(5.96); bre(5.96); aur(5.96); var(5.96); ves(5.96); ob(5.96); ron(5.96); ern(5.96); ull(5.96); lar(5.96); ose(5.96); fin(5.96); gill(5.96); del(5.96); aus(5.96); ute(5.96); ome(5.96); ree(5.96); pine(5.96); rob(5.96); rell(5.96); itt(5.96); ule(5.96); zo(5.96); om(5.96); am(5.96); rum(5.96); id(5.96); ur(5.96); ont(5.96); ou(5.96); ac(5.96); iv(5.96); ine(5.96),13.7,5.836,,,,10,subwords/fragments,syntactic,9,subword fragments,syntactic,6,subword fragments,syntactic
E035,5162,856,began(5.38); come(5.38); took(5.38); allow(5.38); qualify(5.38); underwent(5.38); toured(5.38); challenged(5.38); grossing(5.38); resumed(5.38); followed(5.38); reached(5.38); announced(5.38); debut(5.38); allowed(5.38); caused(5.38); traveled(5.38); started(5.38); passed(5.38); retain(5.38); travelled(5.38); pulled(5.38); take(5.38); came(5.38); bring(5.38); rose(5.38); entered(5.38); injured(5.38); turning(5.38); receive(5.38); expanded(5.38); increase(5.38); retained(5.38); turned(5.38); increased(5.38); spent(5.38); arrived(5.38); changed(5.38); replaced(5.38); wins(5.38); requested(5.38); showed(5.38); causing(5.38); elected(5.38); resulted(5.38); chose(5.38); attempted(5.38); gain(5.38); improve(5.38); climbed(5.38),17.3,6.006,,,,9,verbs/events,semantic,8,action verbs,syntactic,7,achievement verbs,syntactic
E036,5080,70,"right(5.41); more(5.41); but(5.41); less(5.34); from(5.30); on(4.04); to(3.83); of(3.79); that(3.71); just(3.45); for(3.31); much(3.26); though(2.88); too(2.86); further(2.82); until(2.71); without(2.71); however(2.57); back(2.32); not(2.27); so(2.24); west(2.18); while(1.88); only(1.77); over(1.76); also(1.68); later(1.37); or(1.33); after(1.33); any(1.16); with(0.95); than(0.88); ,(0.79); at(0.70); by(0.65); against(0.30); there(0.24); during(-0.14); ((-0.20); one(-0.60); and(-1.30); as(-1.51); which(-1.66); -(-2.90); .(-4.95); the(-6.13)",99.4,2.432,,,,2,mixed/unclear,mixed,7,function words,syntactic,4,function words,syntactic
E037,6456,943,been(5.06); afforded(5.06); Active(5.06); aged(5.06); left(5.06); included(5.06); named(5.06); described(5.06); undertook(5.06); contested(5.06); manages(5.06); ensuing(5.06); allocated(5.06); appreciated(5.06); halted(5.06); emphasized(5.06); slowed(5.06); controlling(5.06); deciding(5.06); pointing(5.06); disturbed(5.06); deceased(5.06); inflicted(5.06); asserted(5.06); disputed(5.06); undertaken(5.06); positioned(5.06); compiled(5.06); possessed(5.06); expanding(5.06); confused(5.06); proclaimed(5.06); planted(5.06); weighed(5.06); carved(5.06); placed(5.06); held(5.06); put(5.06); posed(5.06); ending(5.06); considered(5.06); written(5.06); given(5.06); resolved(5.06); burned(5.06); grossing(5.06); burning(5.06); extending(5.06); maintaining(5.06); noticed(5.06),12.5,6.081,,,,9,past participles,syntactic,8,past participles,syntactic,6,past participles,syntactic
E038,6,6,are(7.45); also(7.16); its(7.13); ((5.61); with(5.35); the(2.01),100.0,1.792,,,,5,function words,syntactic,7,function words,syntactic,4,function words,syntactic
E039,7368,1163,α(4.87); Nationalist(4.87); operatic(4.87); sub(4.87); ese(4.87); United(4.87); American(4.87); trans(4.87); reddish(4.87); 23rd(4.87); NR(4.87); Rhodesian(4.87); interim(4.87); overnight(4.87); idian(4.87); starboard(4.87); Mongol(4.87); amphibious(4.87); therly(4.87); 29th(4.87); obscure(4.87); sixteenth(4.87); Emergency(4.87); 260(4.87); 320(4.87); volunteer(4.87); protective(4.87); nationalist(4.87); southbound(4.87); fake(4.87); freshman(4.87); blank(4.87); collective(4.87); phic(4.87); concurrent(4.87); 202(4.87); Iraqi(4.87); airborne(4.87); disabled(4.87); atorial(4.87); 25th(4.87); intact(4.87); actic(4.87); preliminary(4.87); 175(4.87); yan(4.87); elderly(4.87); sacred(4.87); basal(4.87); static(4.87),7.5,6.164,,,,8,adjectives,semantic,6,adjectives,syntactic,3,mixed adjectives,mixed
E040,9,5,the(3.42),44.4,1.427,,,,10,article,syntactic,10,article,syntactic,4,definite article,syntactic
E041,7228,13,"–(4.90); —(4.90); ,(4.90); ((-3.03)",99.9,0.233,,,,10,punctuation,syntactic,10,punctuation,syntactic,6,dash/comma punctuation,syntactic
E042,652,99,"beautiful(8.37); afterwards(8.37); actress(8.37); herself(8.37); female(8.37); woman(8.37); girl(8.37); she(8.37); her(8.37); Her(8.37); She(8.37); Madonna(8.27); women(7.84); cruiser(7.78); male(7.67); Europe(7.01); someone(6.95); sometimes(6.67); Fleet(6.52); dance(6.46); From(6.05); unknown(5.95); ),(5.09); 2008(5.00); After(4.80); Australia(4.59); Force(4.53); As(3.39); they(2.78); In(2.26); their(1.72)",87.1,3.020,,,,8,feminine/personal,semantic,8,female terms,semantic,6,female/gender terms,mixed
E043,437,26,"could(8.95); can(7.28); ...(6.30); would(6.26); The(6.22); )(4.41); did(4.35); had(3.42); or(2.87); were(2.86); they(2.62); that(1.04); ,(0.37); to(-0.30); .(-1.09); the(-2.18)",97.0,1.895,,,,7,modals/punctuation,syntactic,8,modal verbs,syntactic,5,modal verbs,syntactic
E044,3669,1224,ism(5.88); ology(5.88); points(5.88); lines(5.88); disc(5.88); backgrounds(5.88); xes(5.88); teachings(5.88); ideology(5.88); Ebert(5.88); minds(5.88); cliffs(5.88); tapes(5.88); sentiments(5.88); exhibitions(5.88); emblem(5.88); example(5.88); winds(5.88); ems(5.88); elements(5.88); shadow(5.88); aims(5.88); monuments(5.88); observers(5.88); slopes(5.88); enthusiasm(5.88); imagination(5.88); criteria(5.88); timing(5.88); Richards(5.88); premise(5.88); parallels(5.88); portraits(5.88); Gand(5.88); reminiscent(5.88); zones(5.88); edges(5.88); panels(5.88); progression(5.88); rulers(5.88); axis(5.88); tide(5.88); findings(5.88); thrust(5.88); notion(5.88); centres(5.88); darkness(5.88); chains(5.88); idea(5.88); evidence(5.88),8.3,6.667,,,,7,abstract nouns,semantic,7,abstract concepts,semantic,4,plural abstract nouns,mixed
E045,3081,15,"in(6.13); at(-0.70); on(-2.36); of(-2.53); ,(-4.62)",99.6,0.090,,,,10,prepositions,syntactic,9,prepositions,syntactic,4,in preposition,syntactic
E046,181,45,"martial(10.22); guilty(10.22); ny(10.22); others(10.22); sentenced(9.90); general(9.85); other(8.40); call(8.22); °(7.55); ite(7.41); y(7.32); her(6.06); ),(4.44); its(4.21); the(-0.32)",79.6,3.042,,,,6,legal/judicial,semantic,6,legal/military,semantic,3,mixed/unclear,mixed
E047,6026,2118,opening(5.16); Downtown(5.16); sweeping(5.16); flanking(5.16); travelers(5.16); reside(5.16); Scenic(5.16); Riverside(5.16); hiking(5.16); Amtrak(5.16); Crossing(5.16); Walters(5.16); bypassing(5.16); closed(5.16); fill(5.16); cting(5.16); expand(5.16); docks(5.16); exhibitions(5.16); undivided(5.16); beams(5.16); dismantled(5.16); extracted(5.16); truncated(5.16); withdrawing(5.16); shoreline(5.16); northeast(5.16); serving(5.16); northwest(5.16); Avenue(5.16); southeast(5.16); Common(5.16); adapt(5.16); deploy(5.16); expansion(5.16); restoring(5.16); employing(5.16); exits(5.16); redevelopment(5.16); ramps(5.16); complexes(5.16); headquartered(5.16); decorative(5.16); rerouted(5.16); libraries(5.16); springs(5.16); singled(5.16); Button(5.16); ascent(5.16); concurrently(5.16),4.7,7.129,,,,9,urban/transport,semantic,7,urban infrastructure,semantic,3,mixed verbs/places,mixed
E048,3770,1031,ceramic(5.84); Rapid(5.84); arch(5.84); basal(5.84); Motor(5.84); diving(5.84); tennis(5.84); static(5.84); sacred(5.84); blank(5.84); northbound(5.84); mining(5.84); sea(5.84); maritime(5.84); frontal(5.84); soccer(5.84); water(5.84); armoured(5.84); tele(5.84); cave(5.84); airborne(5.84); parking(5.84); cotton(5.84); archaeological(5.84); atorial(5.84); stair(5.84); Delta(5.84); cable(5.84); tropical(5.84); metro(5.84); lava(5.84); shopping(5.84); missile(5.84); aviation(5.84); aster(5.84); Electric(5.84); southeastern(5.84); manufacturing(5.84); structural(5.84); rugby(5.84); eastward(5.84); timber(5.84); volcanic(5.84); twin(5.84); northern(5.84); electro(5.84); illo(5.84); revolutionary(5.84); colored(5.84); rain(5.84),9.1,6.118,,,,7,technical/descriptive,semantic,3,mixed/unclear,mixed,5,domain adjectives,mixed
E049,5133,1204,logs(5.39); system(5.39); firm(5.39); Emperor(5.39); victim(5.39); horses(5.39); flesh(5.39); nominee(5.39); Julia(5.39); receiver(5.39); mascot(5.39); god(5.39); actress(5.39); governor(5.39); bodies(5.39); residents(5.39); brain(5.39); hotel(5.39); someone(5.39); religion(5.39); prisoners(5.39); candidate(5.39); battery(5.39); boys(5.39); law(5.39); thing(5.39); scripts(5.39); muzzle(5.39); Turks(5.39); rulers(5.39); natives(5.39); dome(5.39); refugees(5.39); passengers(5.39); valley(5.39); ears(5.39); accused(5.39); possibility(5.39); Brigade(5.39); boat(5.39); tradition(5.39); term(5.39); mother(5.39); church(5.39); women(5.39); seal(5.39); Representatives(5.39); father(5.39); Committee(5.39); Constitution(5.39),8.4,6.389,,,,5,society/entities,semantic,2,mixed/unclear,mixed,3,mixed nouns,mixed
E050,517,71,Using(8.70); interested(8.70); employed(8.70); living(8.70); associated(8.70); member(8.70); interest(8.70); uses(8.70); born(8.70); use(8.70); used(8.70); using(8.70); known(8.30); adopted(8.29); primarily(7.12); present(7.04); working(6.97); right(6.32); involved(6.31); based(5.53); World(5.41); around(4.90); place(4.64); main(4.56); under(4.49); also(3.05); the(1.30); of(1.12); The(-0.17),90.1,3.196,,,,7,usage/participation,semantic,7,participation/use,semantic,7,usage/employment,semantic
E051,2654,40,himself(6.34); such(6.34); he(6.34); him(6.34); it(6.34); his(6.34); this(6.14); that(5.36); them(5.30); she(4.76); or(3.64); its(3.59); ((3.05); He(2.87); which(2.82); her(2.67); like(2.62); both(1.97); so(1.95); while(1.23); they(0.02); the(-1.54); as(-1.99); of(-3.05),99.2,2.355,,,,9,pronouns,syntactic,10,pronouns,syntactic,6,pronouns/determiners,syntactic
E052,2731,171,everything(6.30); hands(6.30); those(6.30); night(6.30); order(6.30); They(6.30); All(6.30); them(6.30); they(6.30); our(6.30); their(6.30); all(6.30); every(6.24); north(6.23); south(6.19); back(6.18); what(6.17); themselves(6.13); out(6.11); evening(6.11); west(6.10); these(6.09); each(6.06); except(6.04); SS(5.89); together(5.83); fore(5.82); October(5.81); April(5.74); right(5.69); November(5.68); front(5.66); hand(5.65); inter(5.60); air(5.57); true(5.56); Both(5.56); east(5.56); call(5.52); men(5.51); morning(5.49); none(5.49); day(5.41); Ma(5.25); orders(5.13); light(5.04); round(4.89); mass(4.89); September(4.88); away(4.87),79.5,4.006,,,,6,descriptive/narrative,semantic,6,pronouns/deixis,syntactic,4,mixed determiners,mixed
E053,1258,14,The(7.18); There(4.10); This(3.84); It(3.44); her(1.52); ((0.22); the(-1.06),99.4,0.296,,,,9,determiners,syntactic,8,sentence starters,syntactic,5,sentence starters,syntactic
