expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E010,3789,5,and(5.82); or(3.13); but(-0.38); ;(-0.51),100.0,0.065,,,,9,conjunctions,syntactic,9,conjunctions,syntactic,7,coordinating conjunctions,syntactic
E011,1834,15,"($(6.88); ((6.88); [(6.68); (""(5.46); .""(2.61); "".(1.41); [PAD](1.07); ""(0.98); .(-1.02)",99.6,0.985,,,,10,punctuation/brackets,syntactic,9,brackets/quotes,syntactic,6,opening punctuation,syntactic
E012,1266,373,Phyllis(7.41); Trey(7.41); Ringo(7.41); Paula(7.41); Rex(7.41); Loren(7.41); Sally(7.41); Booker(7.41); Erik(7.41); Julie(7.41); Seth(7.41); Evan(7.41); Karen(7.41); Julia(7.41); Joshua(7.41); Glenn(7.41); Randy(7.41); OD(7.41); Brother(7.41); Dean(7.41); Patrick(7.41); Marc(7.41); Kaz(7.41); Kenneth(7.41); Nicholas(7.41); Larry(7.41); Susan(7.41); Keith(7.41); Bobby(7.41); Dwight(7.41); Mario(7.41); Charlie(7.41); Christopher(7.41); Kurt(7.41); Gary(7.41); Jon(7.41); Roger(7.41); Lenn(7.41); Kevin(7.41); Andy(7.41); Dave(7.41); Ian(7.41); Steven(7.41); Walter(7.41); Nick(7.41); Matt(7.41); Jay(7.41); Kim(7.41); Alan(7.41); Jane(7.41),25.3,5.332,,,,10,first names,semantic,10,first names,semantic,9,first names,semantic
E013,2577,569,Nationalist(6.39); operatic(6.39); Māori(6.39); gubernatorial(6.39); Internal(6.39); guerrilla(6.39); Boer(6.39); Aboriginal(6.39); humanitarian(6.39); nominal(6.39); Khmer(6.39); Malaysian(6.39); brutal(6.39); nationalist(6.39); amphibious(6.39); quantum(6.39); Mongol(6.39); terrorist(6.39); maritime(6.39); democratic(6.39); Iraqi(6.39); phic(6.39); collective(6.39); archaeological(6.39); airborne(6.39); atorial(6.39); sacred(6.39); celebrity(6.39); volunteer(6.39); Labor(6.39); academic(6.39); Asian(6.39); ethnic(6.39); Social(6.39); Turkish(6.39); Revolutionary(6.39); Ancient(6.39); legitimate(6.39); indigenous(6.39); revolutionary(6.39); Protestant(6.39); ultimate(6.39); structural(6.39); Indonesian(6.39); epic(6.39); Victorian(6.39); loyal(6.39); external(6.39); communist(6.39); itarian(6.39),10.9,5.531,,,,9,national/political,semantic,7,political adjectives,semantic,6,domain adjectives,mixed
E014,3832,48,"‑(5.78); -(5.73); ((5.61); /(4.97); :(4.84); (""(4.81); [(4.67); ’(4.59); –(4.04); '(3.17); °(3.15); ""(2.89); $(2.73); .(2.70); No(1.84); 0(1.78); 4(0.70); ;(0.70); Route(0.22); [PAD](-0.52); ,(-4.35)",99.1,1.987,,,,8,symbols/punctuation,syntactic,9,symbols/punctuation,syntactic,5,punctuation/symbols,syntactic
E015,1708,978,Prosecut(6.98); Described(6.98); Officials(6.98); Refle(6.98); Reconstruction(6.98); Arri(6.98); Regardless(6.98); Eight(6.98); Historian(6.98); arus(6.98); Large(6.98); Reviewers(6.98); Starting(6.98); Returning(6.98); Us(6.98); Ind(6.98); Conne(6.98); Research(6.98); ctions(6.98); ceed(6.98); cing(6.98); Art(6.98); Sup(6.98); Years(6.98); Beginning(6.98); Design(6.98); Now(6.98); ks(6.66); Regarding(6.56); Support(6.56); overland(6.56); Head(6.56); Regional(6.56); pts(6.56); Wind(6.56); Rush(6.56); Development(6.56); Rand(6.56); Prom(6.56); Guitar(6.56); ulation(6.56); Construction(6.56); Along(6.56); Plans(6.49); Critics(6.39); Back(6.32); ving(6.30); Soon(6.24); More(6.17); iting(5.98),11.7,6.575,,,,4,capitalized words,mixed,2,mixed/unclear,mixed,3,capitalized mixed words,mixed
E016,2297,488,fixture(6.55); Census(6.55); opener(6.55); premise(6.55); advertisement(6.55); polls(6.55); installment(6.55); bout(6.55); scenario(6.55); progression(6.55); essay(6.55); exhibit(6.55); verses(6.55); portrait(6.55); census(6.55); poster(6.55); adaptation(6.55); remix(6.55); footage(6.55); dialogue(6.55); riff(6.55); productions(6.55); panel(6.55); chord(6.55); message(6.55); composition(6.55); sequences(6.55); segment(6.55); card(6.55); arc(6.55); storyline(6.55); poll(6.55); chorus(6.55); map(6.55); credit(6.55); documentary(6.55); collection(6.55); soundtrack(6.55); website(6.55); article(6.55); mix(6.55); episodes(6.55); section(6.55); appearance(6.55); script(6.55); DVD(6.55); rating(6.55); letter(6.55); edition(6.55); theme(6.55),13.1,5.317,,,,9,media/production,semantic,7,media terms,semantic,7,media/content nouns,semantic
E017,2883,447,Ji(6.22); Arri(6.22); Esc(6.22); Ich(6.22); Ir(6.22); Ru(6.22); Equ(6.22); Must(6.22); Prom(6.22); Wa(6.22); Cab(6.22); Mam(6.22); Bour(6.22); Sac(6.22); Der(6.22); Kal(6.22); Mik(6.22); Sin(6.22); Inc(6.22); Pil(6.22); Ep(6.22); Kn(6.22); Ol(6.22); Rh(6.22); Fer(6.22); Lo(6.22); Im(6.22); Sur(6.22); Mah(6.22); Mu(6.22); Tem(6.22); Dev(6.22); Si(6.22); Are(6.22); Tam(6.22); Mis(6.22); Sup(6.22); Sar(6.22); Cor(6.22); Am(6.22); Sy(6.22); Ex(6.22); Mus(6.22); Te(6.22); Bar(6.22); Ser(6.22); Ne(6.22); Mo(6.22); Bo(6.22); Lu(6.22),13.1,5.086,,,,2,word fragments,syntactic,2,subword starts,syntactic,6,capitalized prefixes,syntactic
E018,2382,545,prosecutors(6.50); governorship(6.50); legislators(6.50); Rules(6.50); Personnel(6.50); Officials(6.50); prohibition(6.50); Rebellion(6.50); Democrat(6.50); Census(6.50); Appeals(6.50); Article(6.50); Chancellor(6.50); coalition(6.50); Movement(6.50); Leader(6.50); Alliance(6.50); Voice(6.50); attorney(6.50); Admiralty(6.50); FBI(6.50); Services(6.50); Security(6.50); Republicans(6.50); Herald(6.50); Register(6.50); Judge(6.50); Tribune(6.50); census(6.50); Attorney(6.50); Representatives(6.50); Marshal(6.50); nomination(6.50); Justice(6.50); department(6.50); Assembly(6.50); Labor(6.50); Staff(6.50); Corporation(6.50); Police(6.50); Constitution(6.50); Commander(6.50); legislation(6.50); judge(6.50); Administration(6.50); Community(6.50); Reserve(6.50); Democrats(6.50); jury(6.50); petition(6.50),11.8,5.556,,,,10,government/legal,semantic,9,government/legal,semantic,8,government/law,semantic
E019,957,22,whom(7.81); who(7.81); which(7.81); whose(7.81); what(7.68); how(7.06); where(7.05); having(6.52); that(5.19); 000(2.79); when(2.65),98.7,1.704,,,,9,relative pronouns,syntactic,9,wh-words,syntactic,8,relative/interrogative,syntactic
E020,4422,384,28th(5.61); sixteenth(5.61); 380(5.61); 25th(5.61); 320(5.61); twelve(5.61); 52(5.61); 109(5.61); 24th(5.61); fourteen(5.61); 21st(5.61); 11th(5.61); 15th(5.61); 16th(5.61); 17th(5.61); eighth(5.61); 12th(5.61); ninth(5.61); 140(5.61); thousand(5.61); 18th(5.61); ½(5.61); eight(5.61); 185(5.61); 19th(5.61); four(5.56); five(5.53); 20th(5.52); three(5.52); two(5.50); nine(5.50); 9th(5.49); six(5.47); 34(5.45); 175(5.44); 16(5.38); seventh(5.38); 24(5.35); 22(5.35); 14th(5.34); 29th(5.34); 6th(5.33); 13(5.33); sixth(5.32); seven(5.30); twin(5.28); 42(5.28); sixteen(5.28); 20(5.26); 15(5.25),25.3,4.736,,,,10,numbers/ordinals,syntactic,10,numbers/ordinals,syntactic,8,numbers/ordinals,syntactic
E021,4117,1052,bodyguard(5.71); Championship(5.71); voice(5.71); plot(5.71); testimony(5.71); bout(5.71); deployment(5.71); coalition(5.71); supporter(5.71); duel(5.71); fixture(5.71); Offensive(5.71); ideology(5.71); movie(5.71); theme(5.71); vocals(5.71); relationship(5.71); victory(5.71); background(5.71); invasion(5.71); roles(5.71); cameo(5.71); objectives(5.71); nickname(5.71); installment(5.71); ballot(5.71); opposition(5.71); rival(5.71); offensive(5.71); soundtrack(5.71); championship(5.71); reference(5.71); vote(5.71); touchdown(5.71); programming(5.71); voices(5.71); contribution(5.71); titles(5.71); champion(5.71); solo(5.71); choice(5.71); title(5.71); candidate(5.71); combination(5.71); neighbor(5.71); mission(5.71); nomination(5.71); shots(5.71); investigation(5.71); proposal(5.71),9.9,6.232,,,,7,competition/conflict,semantic,4,mixed topics,mixed,5,mixed nouns/themes,mixed
E022,1572,423,oped(7.10); elt(7.10); icked(7.10); eping(7.10); anchored(7.10); induced(7.10); sparked(7.10); prompted(7.10); backed(7.10); escorted(7.10); aided(7.10); omed(7.10); gged(7.10); osed(7.10); ified(7.10); ning(7.10); lled(7.10); cting(7.10); marked(7.10); sed(7.10); bled(7.10); headed(7.10); shaped(7.10); influenced(7.10); represented(7.10); emed(7.10); commanded(7.10); apping(7.10); owed(7.10); ped(7.10); led(7.10); ied(7.10); cted(7.10); ered(7.10); med(7.10); ced(7.10); ited(7.10); ated(7.10); ved(7.10); aged(7.10); ched(7.10); ged(7.10); cing(7.10); ed(7.10); ashed(7.10); inated(7.10); ging(7.10); aring(7.10); inspired(7.10); apped(7.10),28.4,5.267,,,,8,past tense/suffixes,syntactic,9,verb endings,syntactic,8,past tense suffixes,syntactic
E023,1636,115,"Several(6.23); .""(6.10); "".(5.98); (""(5.63); Originally(5.63); Most(5.46); Following(5.42); Meanwhile(5.30); During(5.13); Two(4.98); Early(4.87); Another(4.79); However(4.79); From(4.72); On(4.61); The(4.56); According(4.56); There(4.53); While(4.46); .(4.41); After(4.37); As(4.31); By(4.30); At(4.23); Later(4.10); Although(4.04); A(3.97); ).(3.94); Some(3.87); An(3.07); No(2.65); This(2.46); It(1.32); Australian(1.06); ((0.69); ""(-0.25); that(-0.54); '(-1.73)",94.1,2.180,,,,7,sentence starters,syntactic,8,discourse markers,syntactic,5,sentence starters,syntactic
E024,4195,70,"this(4.96); the(4.34); both(3.12); an(2.94); same(2.88); end(2.86); Operation(2.81); her(2.52); open(2.46); late(2.39); early(2.30); North(2.12); South(2.03); No(2.03); The(1.95); public(1.95); its(1.93); New(1.91); northern(1.84); further(1.36); these(1.21); that(0.99); about(0.55); a(0.54); other(0.17); or(0.02); their(-0.55); one(-0.74); it(-0.81); his(-0.94); which(-1.39); ""(-3.02)",98.8,0.892,,,,4,function words,mixed,4,mixed function,mixed,4,mixed determiners,mixed
E025,1592,141,anybody(7.08); pretty(7.08); bulk(7.08); Much(7.08); lowest(7.08); hundreds(7.08); anyone(7.08); thousands(7.08); considerable(7.08); nothing(7.08); everything(7.08); none(7.08); multiple(7.08); Many(7.08); Most(7.08); numerous(7.08); Several(7.08); most(7.08); any(7.08); those(7.08); all(7.08); certain(7.08); various(7.08); little(7.08); Some(7.08); every(7.08); few(7.08); several(7.08); much(7.08); some(7.08); many(7.08); different(7.02); least(7.02); majority(6.73); anything(6.72); Other(6.69); specific(6.67); All(6.64); percent(6.34); remainder(6.27); More(6.27); highest(6.26); best(6.03); six(5.79); other(5.79); parts(5.76); far(5.72); portion(5.50); neither(5.50); eight(5.39),72.5,3.989,,,,10,quantifiers,semantic,9,quantifiers,syntactic,8,quantifiers/determiners,syntactic
E026,2301,1015,pyram(6.55); calder(6.55); stel(6.55); camer(6.55); hierogly(6.55); kilometer(6.55); metamorph(6.55); sensu(6.55); moul(6.55); hypoc(6.55); traw(6.55); apar(6.55); Administr(6.55); Settle(6.55); bayon(6.55); cz(6.55); skirm(6.55); Investig(6.55); receip(6.55); skyscrap(6.55); mead(6.55); discrimin(6.55); Compos(6.55); fabric(6.55); poster(6.55); lab(6.55); dyn(6.55); dot(6.55); quo(6.55); bust(6.55); odor(6.55); ropol(6.55); gly(6.55); infiltr(6.55); pac(6.55); tab(6.55); pic(6.55); sham(6.55); conting(6.55); jam(6.55); testim(6.55); stair(6.55); fraud(6.55); clam(6.55); bin(6.55); cot(6.55); confess(6.55); haz(6.55); chant(6.55); mini(6.55),9.2,6.500,,,,5,word roots,syntactic,1,random fragments,mixed,3,subword stems,syntactic
E027,950,50,another(7.83); Another(7.83); One(7.83); Two(7.83); one(7.83); An(7.83); A(7.83); Five(7.37); Four(7.12); Three(7.02); two(6.58); something(6.41); second(5.73); five(5.58); three(5.58); four(5.37); seven(5.02); Ten(4.98); only(4.05); F(3.37); 1(3.33); B(3.30); part(2.11); an(1.93); a(1.66); In(0.98),97.2,2.548,,,,9,determiners/numbers,syntactic,8,counting words,syntactic,8,numerals/articles,syntactic
E028,2379,11,"!,(5.69); ,(4.95); "",(2.55); ),(1.46)",99.7,0.091,,,,10,punctuation,syntactic,10,punctuation,syntactic,6,comma/excl punctuation,syntactic
E029,2697,337,halt(6.32); Article(6.32); exit(6.32); edge(6.32); sector(6.32); extent(6.32); portions(6.32); conclusion(6.32); extension(6.32); completion(6.32); tip(6.32); remainder(6.32); phase(6.32); segment(6.32); rear(6.32); End(6.32); southwest(6.32); bottom(6.32); corner(6.32); branch(6.32); northwest(6.32); ahead(6.32); rest(6.32); west(6.32); °(6.32); sh(6.32); mid(6.32); section(6.32); fall(6.32); parts(6.32); quarter(6.32); portion(6.32); step(6.32); middle(6.32); path(6.32); end(6.32); order(6.32); right(6.32); east(6.32); part(6.30); south(6.30); Battle(6.28); front(6.27); north(6.21); ends(6.20); northeast(6.20); southeast(6.19); addition(6.18); half(6.16); back(6.16),44.7,4.857,,,,10,spatial/parts,semantic,8,spatial parts,semantic,7,spatial/directional nouns,mixed
E030,2227,515,McN(6.60); Sho(6.60); Rum(6.60); Aw(6.60); Rag(6.60); Hind(6.60); Hes(6.60); Butter(6.60); Sor(6.60); Mau(6.60); Wa(6.60); Mom(6.60); Pul(6.60); Tul(6.60); Sche(6.60); Fro(6.60); Py(6.60); Ple(6.60); Tag(6.60); Pil(6.60); Som(6.60); Bes(6.60); Hom(6.60); Lar(6.60); Bou(6.60); Ever(6.60); Ak(6.60); Iron(6.60); Hun(6.60); Cop(6.60); Kal(6.60); Dol(6.60); Mont(6.60); Sto(6.60); Long(6.60); Far(6.60); Haw(6.60); Bre(6.60); Fre(6.60); Hy(6.60); Pen(6.60); Tro(6.60); Ep(6.60); Mis(6.60); Lan(6.60); Bad(6.60); Mun(6.60); Der(6.60); Pu(6.60); Sel(6.60),13.9,5.597,,,,2,word fragments,syntactic,2,mixed fragments,mixed,5,capitalized name prefixes,syntactic
E031,2312,146,what(6.30); any(6.29); That(6.13); certain(6.13); whom(6.03); how(5.96); some(5.89); either(5.81); till(5.81); all(5.73); anything(5.69); late(5.68); many(5.58); whether(5.54); everything(5.54); both(5.52); various(5.48); every(5.48); this(5.41); same(5.39); other(5.17); such(5.05); so(4.96); these(4.77); least(4.76); that(4.68); each(4.64); which(4.53); early(4.52); several(4.36); [(4.17); an(4.12); much(3.98); if(3.83); saying(3.73); having(3.73); a(3.70); following(3.69); own(3.29); eight(3.27); public(3.22); two(3.10); April(3.06); in(3.02); about(3.00); more(2.99); where(2.70); or(2.69); most(2.64); only(2.61),85.8,3.551,,,,7,quantifiers/pronouns,syntactic,8,determiners,syntactic,5,determiners/question words,syntactic
E032,700,419,Impact(8.15); Chick(7.94); Holby(7.90); Fighting(7.85); Given(7.68); Cap(7.27); Hom(7.04); Originally(6.85); Ich(6.78); Meanwhile(6.75); Karen(6.68); Die(6.57); News(6.53); Hor(6.39); Field(6.39); Homer(6.27); Ay(6.10); Head(6.07); Live(6.04); Fort(5.89); Kr(5.87); Team(5.78); U2(5.74); Ste(5.68); Pap(5.60); Gau(5.53); eng(5.53); Re(5.46); Temple(5.39); Bart(5.39); McC(5.39); There(5.27); A(5.20); Beckham(5.13); Paul(5.10); Sh(4.96); Radcliffe(4.94); Richmond(4.86); Day(4.85); Hu(4.81); Churchill(4.71); Bur(4.60); Mer(4.60); Sonic(4.59); Route(4.26); Starr(4.21); General(4.21); However(4.02); Australia(4.00); No(3.87),36.3,5.721,,,,4,capitalized names/titles,mixed,2,mixed names,mixed,3,mixed proper nouns,mixed
E033,3484,1096,ction(5.95); healthcare(5.95); moul(5.95); arson(5.95); invasions(5.95); wounding(5.95); abandonment(5.95); sion(5.95); ulation(5.95); search(5.95); timing(5.95); torture(5.95); violation(5.95); elimination(5.95); posting(5.95); mobility(5.95); dismissal(5.95); renumbering(5.95); Siege(5.95); recreation(5.95); ization(5.95); construction(5.95); damage(5.95); training(5.95); research(5.95); ification(5.95); access(5.95); ening(5.95); evidence(5.95); hiding(5.95); thrust(5.95); identification(5.95); Protection(5.95); testimony(5.95); sting(5.95); integration(5.95); imprisonment(5.95); stopping(5.95); enforcement(5.95); prosecution(5.95); silence(5.95); eping(5.95); rebuilding(5.95); assassination(5.95); acceptance(5.95); navigation(5.95); preparations(5.95); reminiscent(5.95); interference(5.95); boarding(5.95),8.5,6.370,,,,9,abstract nouns,semantic,8,nominalizations,syntactic,5,abstract/process nouns,mixed
E034,1066,214,xes(7.66); tels(7.66); gs(7.66); olds(7.66); aks(7.66); urs(7.66); ows(7.66); ores(7.66); ils(7.66); ts(7.66); ans(7.66); ters(7.66); kes(7.66); ems(7.66); ns(7.66); ams(7.66); ars(7.66); ines(7.66); ons(7.66); ys(7.66); ones(7.66); ops(7.66); ives(7.66); ots(7.66); bes(7.66); bers(7.66); ins(7.66); ves(7.66); ces(7.66); ks(7.66); res(7.66); les(7.66); ls(7.66); es(7.66); als(7.66); ens(7.66); ms(7.66); ers(7.63); abs(7.58); atives(7.57); os(7.56); cers(7.47); ades(7.34); acks(7.34); ents(7.27); tons(7.24); ets(7.24); ses(7.24); ails(7.24); ides(7.24),56.8,4.274,,,,10,plural suffixes,syntactic,10,plural suffixes,syntactic,9,plural noun suffixes,syntactic
E035,3455,971,panels(5.96); buses(5.96); regiments(5.96); thunderstorms(5.96); planes(5.96); movies(5.96); boilers(5.96); crimes(5.96); broadcasts(5.96); courses(5.96); outs(5.96); Wars(5.96); dollars(5.96); flights(5.96); bers(5.96); izations(5.96); sters(5.96); Canal(5.96); bombers(5.96); toms(5.96); productions(5.96); ters(5.96); ics(5.96); gs(5.96); aks(5.96); drivers(5.96); counts(5.96); industries(5.96); tries(5.96); ns(5.96); gars(5.96); veins(5.96); Rifles(5.96); teams(5.96); barges(5.96); railroads(5.96); logs(5.96); onies(5.96); docks(5.96); basins(5.96); Divisions(5.96); laws(5.96); ias(5.96); charts(5.96); chart(5.96); tanks(5.96); cers(5.96); aries(5.96); gency(5.96); ids(5.96),7.6,6.170,,,,9,plural nouns,semantic,8,plural nouns,syntactic,5,plural nouns,syntactic
E036,2924,948,Louis(6.20); Alma(6.20); Samoa(6.20); Riverside(6.20); Naruto(6.20); Stacy(6.20); Christchurch(6.20); Texas(6.20); Bob(6.20); Michigan(6.20); Oxford(6.20); Young(6.20); Blue(6.20); Ohio(6.20); Cambridge(6.20); Philadelphia(6.20); Rose(6.20); Jean(6.20); Lewis(6.20); Kentucky(6.20); Kim(6.20); Vikings(6.20); Calder(6.20); Auckland(6.20); Superior(6.20); Willow(6.20); Baghdad(6.20); Coral(6.20); Paula(6.20); Knock(6.20); Trenton(6.20); Cherokee(6.20); Howard(6.20); Andy(6.20); Illinois(6.20); Bristol(6.20); Russell(6.20); Silver(6.20); Prague(6.20); Chick(6.20); iston(6.20); Gallipoli(6.20); Carnegie(6.20); Hurley(6.20); AAA(6.20); Warner(6.20); Anna(6.20); Melbourne(6.20); Colorado(6.20); Mario(6.20),11.9,6.253,,,,9,names/places,semantic,6,proper nouns,semantic,6,proper nouns/places,semantic
E037,1313,23,upon(7.36); on(7.36); On(7.35); onto(7.30); off(5.00); along(4.75); at(0.27); by(0.19); in(-1.41),98.6,0.799,,,,10,prepositions,syntactic,9,prepositions,syntactic,8,on/surface prepositions,syntactic
E038,4619,20,the(4.58); them(1.36); these(1.07); its(0.54); her(0.06); which(-0.30); this(-0.81),99.7,0.082,,,,8,determiners/pronouns,syntactic,5,pronouns/determiners,syntactic,5,determiners/articles,syntactic
E039,3025,38,to(5.63); into(5.15); for(4.48); than(4.48); could(4.12); onto(3.89); as(3.82); would(3.36); from(3.14); between(2.75); towards(2.25); –(1.62); off(1.57); under(1.36); about(1.35); ((1.28); through(0.96); by(0.79); on(0.67); while(0.63); at(0.33); of(-0.82); in(-3.42),99.3,1.334,,,,7,prepositions/modals,syntactic,6,function words,syntactic,5,prepositions,syntactic
E040,1277,97,roughly(7.40); toward(7.40); About(7.40); regarding(7.40); approximately(7.40); about(7.40); around(7.40); towards(7.40); over(7.38); within(7.36); near(7.31); against(7.24); behind(7.18); involving(7.18); Around(7.14); Over(7.11); Against(7.08); describing(7.08); above(7.06); Regarding(6.98); beyond(6.98); almost(6.94); surrounding(6.81); opposing(6.66); across(6.43); nearly(6.40); below(5.98); reaching(5.98); upon(5.94); outside(5.40); captured(5.20); through(5.14); due(4.81); under(4.60); between(4.51); than(4.46); just(4.16); off(4.04); reached(4.03); like(3.99); into(3.94); down(3.38); on(3.28); following(2.81); up(2.65); along(2.20); at(2.16); for(1.84); to(1.54); by(1.45),94.0,3.378,,,,10,spatial/quantity,semantic,8,approximation words,syntactic,7,approximation/direction,syntactic
