expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E010,1464,84,"Ron(7.20); ing(7.20); s(6.93); ong(6.81); ors(6.31); ed(6.15); y(5.70); ant(5.10); es(4.77); ers(4.35); i(4.23); km(4.01); age(3.65); u(3.59); who(3.44); ground(3.14); or(2.71); then(2.55); .""(2.35); used(2.20); t(2.13); that(1.88); he(1.37); which(1.35); it(1.19); they(0.87); one(0.78); is(0.56); for(0.28); -(-0.52); with(-0.58); '(-1.16); was(-1.44)",95.8,1.778,,,,4,fragments/noise,syntactic,6,subword endings,syntactic,4,suffixes/subwords,syntactic
E011,4041,150,Five(5.74); Back(5.74); Six(5.74); Of(5.74); Ten(5.74); Each(5.74); What(5.74); Another(5.74); Four(5.74); Up(5.74); Three(5.74); Super(5.74); Her(5.74); All(5.74); Me(5.74); One(5.74); My(5.74); Some(5.74); The(5.74); For(5.74); Two(5.74); He(5.73); A(5.72); During(5.71); An(5.71); As(5.70); After(5.70); On(5.70); In(5.69); These(5.66); His(5.66); With(5.64); Both(5.64); At(5.62); Over(5.60); Un(5.58); It(5.58); They(5.56); Among(5.51); From(5.49); By(5.47); Less(5.47); According(5.39); Pro(5.32); When(5.27); There(5.22); Good(5.15); Later(5.12); Other(5.04); Mis(5.00),85.1,3.115,,,,9,capitalized starters,syntactic,9,capitalized function words,syntactic,9,capitalized sentence starters,syntactic
E012,39271,55,"whereas(2.46); rather(2.46); ,""(2.46); while(2.46); if(2.46); that(2.46); ;(2.46); or(2.46); nor(2.46); "",(2.46); but(2.46); except(2.46); [(2.46); as(2.45); so(2.41); ...(2.40); —(2.37); although(2.34); because(2.34); though(2.32); :(2.28); (""(2.26); "";(2.23); simply(1.87); [PAD](1.81); either(1.13); however(1.03); than(0.86); like(0.63); even(0.22); which(-0.58); before(-0.76); when(-0.90); just(-1.59); –(-1.92); due(-2.00); "".(-2.20); ),(-2.33); who(-2.41); where(-2.97); during(-3.51); ((-4.48); for(-4.69); with(-5.74)",100.0,0.555,,,,8,connectives,syntactic,9,conjunctions/punctuation,syntactic,7,conjunctions/punctuation,syntactic
E013,1739,83,Alfred(6.95); Walter(6.95); Alexander(6.95); Edward(6.95); Arthur(6.95); William(6.95); '(6.95); Thomas(6.95); Richard(6.95); George(6.95); David(6.95); Henry(6.95); Robert(6.95); ’(6.82); James(6.78); John(6.77); Donald(6.54); Andrew(6.37); Stephen(6.22); Peter(5.88); Chris(5.54); Scott(5.37); Michael(4.01); C(3.85); April(2.73); then(2.56); No(2.56); F(2.49); who(2.28); :(2.04); 12(1.98); s(1.19); also(0.98); had(0.55); ((0.02); -(-1.77); was(-2.10),96.8,1.464,,,,9,male names,semantic,9,male first names,semantic,8,male first names,semantic
E014,1007,45,were(7.73); they(7.10); are(6.11); remained(4.04); did(3.73); have(2.81); would(2.57); including(2.56); along(2.54); being(2.37); had(2.21); was(1.85),95.6,1.329,,,,8,verbs,syntactic,8,plural auxiliaries,syntactic,8,plural/past verbs,syntactic
E015,3978,7,".""(5.76); "".(5.76); .(5.19); "",(3.77); ;(2.59); ).(2.36)",100.0,0.472,,,,10,punctuation,syntactic,10,quote punctuation,syntactic,10,sentence-ending punctuation,syntactic
E016,4207,292,ensuing(5.68); sixteen(5.68); fourteen(5.68); respective(5.68); youngest(5.68); vast(5.68); fewer(5.68); lowest(5.68); huge(5.68); twin(5.68); tenth(5.68); ninth(5.68); massive(5.68); thirty(5.68); surviving(5.68); extra(5.68); multi(5.68); oldest(5.68); eighth(5.68); distinct(5.68); earliest(5.68); twelve(5.68); seventh(5.68); twenty(5.68); nearby(5.68); separate(5.68); annual(5.68); multiple(5.68); sixth(5.68); subsequent(5.68); prominent(5.68); several(5.68); many(5.68); second(5.68); four(5.68); large(5.68); following(5.68); six(5.68); each(5.68); approximately(5.68); nearly(5.68); big(5.68); fifth(5.68); initial(5.68); numerous(5.68); whole(5.68); smaller(5.68); latter(5.68); largest(5.68); proper(5.68),22.0,4.521,,,,10,adjectives/quantity,semantic,9,quantifier adjectives,syntactic,8,quantifiers/ordinals,syntactic
E017,151,23,lands(10.48); land(10.48); f(9.83); High(8.48); new(8.07); top(7.48); is(3.84),87.4,2.150,,,,4,land,mixed,5,land terms,mixed,4,mixed/unclear,mixed
E018,210,30,when(10.00); originally(6.46); 30(6.16); or(5.80); game(5.65); between(5.12); /(5.02); that(2.42); was(1.95),87.1,1.601,,,,2,mixed/unclear,mixed,4,mixed/unclear,mixed,3,mixed/unclear,mixed
E019,2,2,off(10.55); ing(9.49),100.0,0.693,,,,1,random,mixed,6,suffix fragments,syntactic,5,suffixes,syntactic
E020,5202,1026,try(5.37); met(5.37); struggling(5.37); qualify(5.37); submit(5.37); conceded(5.37); utilized(5.37); anchored(5.37); reacted(5.37); Returning(5.37); resume(5.37); waited(5.37); played(5.37); put(5.37); sent(5.37); posed(5.37); went(5.37); returned(5.37); compiled(5.37); aided(5.37); marched(5.37); flown(5.37); participating(5.37); suited(5.37); belonged(5.37); undertook(5.37); rushed(5.37); manages(5.37); enrolled(5.37); allocated(5.37); taken(5.37); appeared(5.37); sell(5.37); worked(5.37); joined(5.37); scored(5.37); proceeded(5.37); qualifying(5.37); shifted(5.37); locked(5.37); recruited(5.37); pursued(5.37); rushing(5.37); commit(5.37); signed(5.37); tries(5.37); told(5.37); appointed(5.37); perform(5.37); enlisted(5.37),11.2,6.198,,,,10,verbs,syntactic,8,action verbs,syntactic,8,action verbs,syntactic
E021,901,27,",(4.80); -(3.24); —(2.54); –(2.20); for(0.17); .(-0.76)",97.2,0.575,,,,9,punctuation/dashes,syntactic,10,punctuation marks,syntactic,8,punctuation/separators,syntactic
E022,1984,862,basins(6.76); Josephine(6.76); Acapulco(6.76); redevelopment(6.76); shoreline(6.76); downgraded(6.76); circulation(6.76); convection(6.76); intensified(6.76); float(6.76); Emergency(6.76); thunderstorms(6.76); Guerrero(6.76); drought(6.76); shelters(6.76); remnant(6.76); Impact(6.76); vegetation(6.76); preparations(6.76); axis(6.76); tide(6.76); thrust(6.76); rains(6.76); weakening(6.76); forecast(6.76); evacuation(6.76); warning(6.76); Rain(6.76); westward(6.76); satellite(6.76); elevation(6.76); dissipated(6.76); evacuated(6.76); trough(6.76); flows(6.76); imagery(6.76); terrain(6.76); precipitation(6.76); radar(6.76); shear(6.76); inland(6.76); flooding(6.76); rain(6.76); depression(6.76); hurricane(6.76); flood(6.76); Hurricane(6.76); Marsh(6.76); weather(6.76); snow(6.76),15.5,6.321,,,,10,weather/disasters,semantic,10,tropical weather,semantic,9,weather/hurricanes,semantic
E023,250,39,herself(9.75); She(9.75); she(9.25); Her(8.43); John(5.91); named(5.88); her(5.59); He(5.37); The(0.88),83.2,2.210,,,,9,feminine pronouns,syntactic,9,female pronouns,syntactic,8,female pronouns,syntactic
E024,253,21,F(9.73); D(9.69); C(8.58); T(8.35); v(8.00); G(7.73); B(7.02); L(6.89); W(6.24); .(-0.63),94.9,2.112,,,,9,letters,syntactic,10,single letters,syntactic,9,single uppercase letters,syntactic
E025,3763,4,and(5.84),99.9,0.009,,,,1,random,mixed,10,conjunction,mixed,5,"conjunction ""and""",syntactic
E026,5123,45,the(4.56); over(0.24); their(-0.03); this(-0.22); two(-0.63); which(-0.68); his(-1.55); The(-1.61); s(-2.18); that(-2.19); '(-2.64); in(-3.37),99.2,0.175,,,,7,functional words,syntactic,8,function words,syntactic,3,determiners/mixed,mixed
E027,426,77,tag(8.98); relations(8.98); between(8.81); While(8.65); 1998(7.98); 2001(7.81); 1999(7.76); 2003(7.72); 2000(7.62); addition(7.33); 1994(7.25); scenes(7.13); 1993(7.08); 2005(7.06); 1997(6.98); 2002(6.81); among(6.52); working(6.25); within(5.89); with(5.51); due(5.26); named(5.11); 18(5.04); both(4.93); around(4.37); :(3.74); 000(3.55); they(3.39); which(2.91); that(2.88); –(2.87),87.1,3.010,,,,7,years/relations,mixed,6,year references,semantic,5,years/dates,mixed
E028,5678,1749,ist(5.25); prosecutors(5.25); act(5.25); ists(5.25); overthrow(5.25); apology(5.25); prohibition(5.25); enterprise(5.25); sentiments(5.25); emblem(5.25); filters(5.25); terrorism(5.25); conferences(5.25); plea(5.25); law(5.25); process(5.25); respect(5.25); court(5.25); commission(5.25); concern(5.25); Court(5.25); election(5.25); chaos(5.25); complaint(5.25); hiatus(5.25); ctorate(5.25); embassy(5.25); dismissal(5.25); teachings(5.25); ideology(5.25); bail(5.25); Appeals(5.25); defendant(5.25); religions(5.25); decision(5.25); favor(5.25); rights(5.25); actions(5.25); tax(5.25); imprisonment(5.25); enforcement(5.25); aims(5.25); ballot(5.25); prosecution(5.25); activist(5.25); immigration(5.25); polls(5.25); criteria(5.25); advertisement(5.25); discrimination(5.25),8.2,6.872,,,,10,law/politics,semantic,9,legal/political,semantic,7,law/politics,semantic
E029,7376,8,the(4.58); The(0.50); their(-1.36),99.9,0.064,,,,3,articles,syntactic,9,articles/determiners,syntactic,6,definite articles,syntactic
E030,4651,2185,Wür(5.53); ld(5.53); 譜(5.53); 竹(5.53); 正(5.53); 書(5.53); 印(5.53); 十(5.53); ♭(5.53); ်(5.53); မ(5.53); န(5.53); ž(5.53); š(5.53); ř(5.53); [UNK](5.53); avig(5.53); Chun(5.53); Eich(5.53); Console(5.53); cany(5.53); onte(5.53); Esk(5.53); Prosecut(5.53); overland(5.53); kilometer(5.53); metamorph(5.53); Javan(5.53); Beers(5.53); Kak(5.53); moul(5.53); Cors(5.53); bayon(5.53); sensu(5.53); elt(5.53); PPV(5.53); iosity(5.53); Kimber(5.53); dd(5.53); Scenic(5.53); interfered(5.53); traw(5.53); apar(5.53); Carac(5.53); hap(5.53); Gau(5.53); Wigg(5.53); skirm(5.53); Investig(5.53); Lah(5.53),5.4,7.216,,,,4,fragments/foreign,mixed,1,random garbage,mixed,1,random/unicode,mixed
E031,3094,20,in(6.12); within(4.03); top(3.12); -(-1.38); with(-2.07),99.3,0.119,,,,7,prepositions,syntactic,8,prepositions,syntactic,4,prepositions,syntactic
E032,3506,248,109(5.94); 129(5.94); 104(5.94); 102(5.94); 63(5.94); 93(5.94); 82(5.94); 81(5.94); 83(5.94); 71(5.94); 76(5.94); 64(5.94); 44(5.94); 52(5.94); 99(5.94); 77(5.94); 66(5.94); 56(5.94); 88(5.94); 67(5.94); 51(5.94); 57(5.94); 89(5.94); 59(5.94); 86(5.94); 69(5.94); lead(5.94); 20(5.94); 18(5.94); 5(5.94); 8(5.94); 6(5.94); 9(5.94); 19(5.94); 1(5.94); 11(5.94); 195(5.94); 22(5.94); 27(5.94); 21(5.94); 28(5.94); 80(5.94); 32(5.94); 35(5.94); 45(5.94); 48(5.94); 95(5.94); 90(5.94); 73(5.94); 110(5.94),35.3,4.550,,,,10,numbers,syntactic,10,numbers,syntactic,9,numbers,syntactic
E033,1905,121,setting(6.82); sets(6.82); range(6.82); set(6.82); r(6.82); out(6.81); up(6.79); part(6.78); list(6.73); cast(6.71); at(6.66); number(6.61); cut(6.61); en(6.50); works(6.24); built(6.09); spread(6.08); end(5.91); top(5.82); cap(5.36); ash(5.24); close(5.11); land(4.94); right(4.93); open(4.82); run(4.82); use(4.76); long(4.42); ran(4.30); series(4.29); building(4.14); ri(3.97); used(3.94); re(3.77); th(3.54); off(3.46); l(3.27); water(3.24); over(2.99); es(2.80); work(2.48); role(2.48); down(2.38); known(2.28); -(2.16); back(2.15); one(2.14); y(2.05); well(1.98); into(1.97),93.3,3.039,,,,5,mixed/verbs,mixed,5,mixed verbs,mixed,4,mixed common words,mixed
E034,3481,27,up(5.93); to(5.93); into(5.93); back(5.01); onto(3.37); down(2.93); over(0.80); -(0.69); out(0.54); or(0.29); that(-0.49); for(-1.20),99.5,0.663,,,,9,particles,syntactic,9,directional particles,syntactic,8,directional particles,syntactic
E035,1452,104,"%,(7.21); percent(7.21); 1(7.21); 2(7.21); %.(7.21); %(7.21); 3(7.20); 5(7.20); 4(7.19); 6(7.04); 8(6.95); 9(6.84); 000(6.76); 44(6.75); 7(6.73); 0(6.73); 77(6.56); 500(6.07); based(6.04); 800(5.89); km(5.56); 33(5.55); 75(5.45); 18(5.27); million(5.17); II(5.14); $(5.13); W(4.72); 49(4.63); 15(4.60); 38(4.55); 10(4.14); mm(4.00); 11(3.49); 12(3.41); known(3.41); 25(3.37); 14(3.37); 17(3.34); 20(2.99); year(2.34); This(2.21); –(1.51); for(-0.93)",94.6,3.207,,,,10,statistics/measures,semantic,9,percent/numbers,syntactic,7,numbers/percentages,syntactic
E036,717,27,"""(7.24); called(3.59); '(3.33); :(2.58); one(2.23); as(0.90); that(0.65); in(-1.76)",97.1,0.648,,,,6,naming/quotes,syntactic,8,quotation tokens,syntactic,5,quotation/naming,syntactic
E037,3174,37,a(6.08); an(6.07); originally(2.96); one(1.25); only(0.57); been(0.17); its(0.08); as(-2.25),98.8,0.615,,,,7,determiners,syntactic,10,indefinite articles,syntactic,7,indefinite articles,syntactic
E038,1460,19,"—(7.21); ((7.20); –(6.95); ),(6.95); (""(6.21); )(6.11); :(4.72); ;(3.37); with(1.89); that(-0.70); as(-0.71); ,(-2.08)",99.4,1.618,,,,9,punctuation,syntactic,10,bracket punctuation,syntactic,9,brackets/punctuation,syntactic
E039,6110,969,reclassified(5.14); indicted(5.14); serialized(5.14); received(5.14); ked(5.14); won(5.14); moved(5.14); began(5.14); said(5.14); prosecuted(5.14); marked(5.14); supported(5.14); proposed(5.14); winning(5.14); suggested(5.14); entered(5.14); listed(5.14); estimated(5.14); conceded(5.14); testified(5.14); induced(5.14); enclosed(5.14); lauded(5.14); ensured(5.14); deceased(5.14); endorsed(5.14); deciding(5.14); slowed(5.14); honored(5.14); investigated(5.14); emphasized(5.14); rested(5.14); jumped(5.14); rented(5.14); repaired(5.14); enrolled(5.14); appealed(5.14); instructed(5.14); relied(5.14); contested(5.14); rushed(5.14); undertook(5.14); carved(5.14); transformed(5.14); planted(5.14); proclaimed(5.14); interrupted(5.14); sparked(5.14); sealed(5.14); ruined(5.14),9.9,6.175,,,,10,past verbs,syntactic,8,past participles,syntactic,8,past tense verbs,syntactic
E040,6432,4,",(4.97)",100.0,0.005,,,,1,random,mixed,10,comma,syntactic,7,comma,syntactic
E041,6614,1815,ley(5.03); prosecutors(5.03); Beckham(5.03); Rudd(5.03); Slater(5.03); Ethiopia(5.03); Somme(5.03); Cheng(5.03); feldt(5.03); Rhino(5.03); Radcliffe(5.03); warbler(5.03); Emirates(5.03); America(5.03); France(5.03); Washington(5.03); Scott(5.03); Smith(5.03); Canada(5.03); Brown(5.03); Māori(5.03); Croft(5.03); Walters(5.03); angelo(5.03); Goebel(5.03); Ewing(5.03); Bowen(5.03); Companies(5.03); SquarePants(5.03); Resistance(5.03); Christchurch(5.03); arson(5.03); Shetland(5.03); Wigg(5.03); ahi(5.03); Riverside(5.03); Caldwell(5.03); Naruto(5.03); unga(5.03); Rabaul(5.03); chalk(5.03); Murdoch(5.03); arty(5.03); Goebbels(5.03); Stephens(5.03); Germany(5.03); India(5.03); berg(5.03); Britain(5.03); Jackson(5.03),9.5,6.704,,,,9,proper nouns,semantic,4,proper nouns,mixed,2,random proper nouns,mixed
E042,6,2,north(11.10),83.3,0.451,,,,1,random,mixed,8,cardinal direction,semantic,7,"direction ""north""",semantic
E043,136,13,along(10.63); alongside(8.37); into(4.78); which(3.98); is(2.99),92.6,0.925,,,,6,prepositions,syntactic,9,path prepositions,syntactic,6,prepositions/movement,syntactic
E044,6122,2267,ý(5.14); xi(5.14); guerrillas(5.14); Cheng(5.14); feldt(5.14); Rhino(5.14); ama(5.14); Street(5.14); MCA(5.14); angelo(5.14); ET(5.14); Yuan(5.14); Console(5.14); capsule(5.14); SquarePants(5.14); Moresby(5.14); Sakura(5.14); athi(5.14); bitt(5.14); sacrificed(5.14); MS(5.14); RA(5.14); achi(5.14); hus(5.14); rabbit(5.14); Naruto(5.14); RF(5.14); Amtrak(5.14); unga(5.14); Rabaul(5.14); edgehog(5.14); compromised(5.14); Goebbels(5.14); Confessions(5.14); iba(5.14); onte(5.14); Māori(5.14); Croft(5.14); SR(5.14); BA(5.14); stein(5.14); CA(5.14); Entertainment(5.14); CD(5.14); Jaguar(5.14); umo(5.14); Daley(5.14); gubernatorial(5.14); animations(5.14); Speedway(5.14),6.4,7.082,,,,8,proper nouns/entities,semantic,2,random entities,mixed,1,random/mixed,mixed
E045,59352,412,Regardless(1.86); Indeed(1.86); Yet(1.86); Afterwards(1.86); Still(1.86); Where(1.86); Eight(1.86); Beginning(1.86); Ever(1.86); Throughout(1.86); Additionally(1.86); Within(1.86); Today(1.86); Then(1.86); Nevertheless(1.86); Soon(1.86); Much(1.86); Such(1.86); wider(1.86); Originally(1.86); [...](1.86); Along(1.86); longest(1.86); Late(1.86); Its(1.86); More(1.86); Several(1.86); Not(1.86); Another(1.86); If(1.86); prior(1.86); Just(1.86); That(1.86); Many(1.86); really(1.86); Later(1.86); Over(1.86); Once(1.86); Also(1.86); Among(1.86); Due(1.86); Meanwhile(1.86); Further(1.86); What(1.86); Hard(1.86); Each(1.86); Upon(1.86); Even(1.86); increasingly(1.86); Between(1.86),0.7,0.534,,,,10,transitions,syntactic,8,discourse adverbs,syntactic,8,sentence-initial adverbs,syntactic
E046,2800,811,own(6.27); present(6.27); ined(6.27); renewed(6.27); trapped(6.27); integrated(6.27); disappeared(6.27); revenge(6.27); participating(6.27); omed(6.27); remarkable(6.27); Starting(6.27); elderly(6.27); honored(6.27); extraordinary(6.27); deceased(6.27); genius(6.27); kill(6.27); engage(6.27); illegal(6.27); funny(6.27); sitting(6.27); hidden(6.27); Lost(6.27); celebrated(6.27); originated(6.27); ongoing(6.27); recurring(6.27); pregnant(6.27); elaborate(6.27); action(6.27); successful(6.27); common(6.27); popular(6.27); happened(6.27); compete(6.27); Charlie(6.27); violent(6.27); interesting(6.27); dramatic(6.27); dominant(6.27); Mrs(6.27); ored(6.27); occur(6.27); alter(6.27); live(6.27); sex(6.27); born(6.27); young(6.27); current(6.27),13.0,6.023,,,,8,adjectives/verbs,semantic,4,mixed descriptors,mixed,3,mixed adjectives/verbs,mixed
E047,2966,44,towards(6.12); to(6.09); toward(6.03); response(3.54); Meanwhile(3.45); into(1.65); for(-1.23); with(-1.27); s(-1.39); -(-2.54),98.7,0.300,,,,7,directionals,syntactic,8,direction prepositions,syntactic,7,directional prepositions,syntactic
E048,2629,34,his(6.36); s(6.36); he(5.91); its(5.48); her(5.27); it(5.13); their(4.73); him(4.52); d(4.15); other(3.78); ing(3.59); this(3.51); re(3.44); ed(2.33); only(2.26); one(0.35); two(-0.08); The(-1.78); the(-3.77),99.4,1.866,,,,9,pronouns/possessives,syntactic,9,pronouns/possessives,syntactic,6,pronouns/possessives,syntactic
E049,4034,37,onto(5.74); away(5.74); through(5.74); out(5.74); up(5.74); into(5.74); down(5.74); back(5.74); to(5.74); forward(5.12); past(4.91); off(4.89); across(2.63); towards(2.25); around(2.12); over(1.46); due(1.28); along(1.28); ing(0.51); against(0.22); from(-0.44); for(-1.41); by(-2.02); with(-2.46); in(-4.25),99.6,1.166,,,,10,prepositions/path,syntactic,10,motion prepositions,syntactic,9,directional particles,syntactic
E050,1373,223,Bryant(7.29); Julie(7.29); AT(7.29); 1907(7.29); 1903(7.29); OS(7.29); 1911(7.29); 1923(7.29); 1908(7.29); 1939(7.29); yellow(7.29); 1968(7.29); VI(7.29); 1935(7.29); 1959(7.29); 1957(7.29); Stanley(7.29); 1915(7.29); 1967(7.29); 1914(7.29); 1966(7.29); 1976(7.29); 1965(7.29); AD(7.29); CE(7.29); PC(7.29); BC(7.29); 1998(7.29); 1999(7.29); Best(7.29); NA(7.29); III(7.29); 2015(7.29); Chris(7.29); SA(7.29); 1997(7.29); BA(7.29); CA(7.29); 1990(7.29); 1940(7.29); IV(7.29); –(7.29); 2009(7.29); 2010(7.29); 2008(7.29); 2007(7.29); 2013(7.29); &(7.29); /(7.29); 2005(7.29),55.9,4.426,,,,9,years/acronyms,mixed,5,years/abbrevs,mixed,3,years/codes mixed,mixed
E051,71,9,and(5.52); that(3.25); '(2.79),88.7,0.885,,,,2,random,mixed,7,conjunction markers,syntactic,4,conjunctions,syntactic
E052,2,2,;(8.79); which(8.06),100.0,0.693,,,,5,relative clauses,syntactic,6,punctuation+relative,syntactic,8,semicolon/relative,syntactic
E053,4878,1767,ic(5.47); ith(5.47); pyram(5.47); Samp(5.47); ess(5.47); ort(5.47); ack(5.47); rit(5.47); ach(5.47); ser(5.47); ll(5.47); int(5.47); nav(5.47); alu(5.47); receip(5.47); Investig(5.47); skirm(5.47); dd(5.47); Kimber(5.47); elt(5.47); sensu(5.47); Settle(5.47); Cors(5.47); Chino(5.47); spray(5.47); mead(5.47); Bard(5.47); indul(5.47); discrimin(5.47); chick(5.47); invalid(5.47); Calder(5.47); Refle(5.47); Bomber(5.47); Robot(5.47); ust(5.47); ree(5.47); mer(5.47); ell(5.47); fin(5.47); cent(5.47); mon(5.47); incl(5.47); ff(5.47); glam(5.47); Dynam(5.47); mitt(5.47); Lambert(5.47); reserv(5.47); Siege(5.47),5.6,6.980,,,,9,fragments,syntactic,2,subword soup,mixed,2,random subwords,syntactic
E054,1,1,",(4.97)",100.0,-0.000,,,,1,random,mixed,10,comma,syntactic,7,comma,syntactic
E055,536,89,generated(8.65); producing(8.65); Andrew(8.65); produce(8.65); produced(8.65); could(8.65); supplied(8.24); little(8.10); initially(7.93); may(7.45); owned(7.43); would(7.39); made(7.36); forced(7.30); directly(6.84); might(6.80); can(6.57); provided(6.33); reached(6.28); making(5.90); served(5.59); June(5.14); had(4.87); 000(4.63); held(4.28); be(4.13); began(4.01); they(3.91); not(3.79); have(3.49); with(0.46),85.6,3.437,,,,7,creation verbs,semantic,8,modals/verbs,syntactic,4,mixed verbs,mixed
E056,316,31,its(9.41); itself(8.24); Its(8.19); east(5.95); 29(4.52); which(3.34); their(2.77); it(2.18),92.4,1.043,,,,7,possessives,syntactic,8,it-pronouns,syntactic,6,its/possessive,syntactic
