layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,15,0.1452,0.4691,"his, that, he, which, who, him, her, himself, whose, whom, it, she, they, where, this, their, He, what, the, when"
blocks.0.ff_or_moe,16,0.1416,0.3972,""", "",, ,"", ""[, ""..., ""., "";, :, ..., ""', ', ""), ,, first, ."", "":, “, —, one, D"
blocks.0.ff_or_moe,17,0.1859,0.3256,"of, area, section, portion, state, version, form, combination, areas, -, layer, ahead, Department, parts, aspect, share, type, member, line, part"
blocks.0.ff_or_moe,18,0.2781,0.4107,"the, and, with, in, on, at, to, over, that, ,, his, had, ., for, as, under, or, The, first, of"
blocks.0.ff_or_moe,19,0.3046,0.4391,"with, that, by, over, at, in, of, for, to, and, as, on, which, ,, from, after, during, under, a, about"
blocks.0.ff_or_moe,20,0.0991,0.3531,"opened, opening, open, and, in, to, but, early, He, I, leading, first, on, ,, new, even, "", as, that, with"
blocks.0.ff_or_moe,21,0.2458,0.4093,"a, an, one, the, another, two, his, at, in, to, ., as, with, it, on, part, had, ,, and, some"
blocks.0.ff_or_moe,22,0.3316,0.4241,"and, in, ,, with, that, at, for, as, to, the, ., by, on, had, (, "", The, during, was, a"
blocks.0.ff_or_moe,23,0.2642,0.4714,"y, i, to, of, as, with, (, by, k, and, at, in, a, -, from, l, an, ,, ', """
blocks.0.ff_or_moe,24,0.1869,0.4109,"ro, called, The, as, in, at, of, He, re, f, but, is, ,, for, to, on, ry, and, with, or"
blocks.0.ff_or_moe,25,0.4058,0.0000,"9, 8, 7, 6, 3, 1, 5, 2, 4, 10, 30, 0, 12, 20, 11, 15, 17, 13, 14, 22"
blocks.0.ff_or_moe,26,0.3516,0.3455,"music, thought, writing, writer, musical, song, story, dance, comic, key, writers, lyrics, songs, background, composer, lyric, theme, version, author, lyrical"
blocks.0.ff_or_moe,27,0.1906,0.3376,"In, As, Prince, It, For, The, A, While, On, At, com, When, Lin, Sam, An, One, John, S, He, Little"
blocks.0.ff_or_moe,28,0.3238,0.4452,"and, ,, in, with, to, as, "", by, ., for, (, under, on, at, after, from, but, ', one, out"
blocks.0.ff_or_moe,29,0.1102,0.3379,"pre, r, end, m, am, per, g, mi, p, in, d, with, f, ad, at, h, prop, 3, re, on"
blocks.0.ff_or_moe,30,0.3126,0.4486,"to, into, in, with, and, for, as, on, by, that, from, back, at, of, ,, ., through, or, after, '"
blocks.0.ff_or_moe,31,0.2534,0.3690,"laid, The, In, Under, born, On, At, He, His, old, This, After, Both, Other, By, Some, As, An, When, During"
blocks.0.ff_or_moe,32,0.1518,0.3573,"set, City, and, setting, ,, to, in, sets, as, for, with, which, one, 2, part, (, "", de, ., at"
blocks.0.ff_or_moe,33,0.2276,0.4310,"the, a, his, an, their, in, its, this, her, one, that, it, The, "", ,, and, to, two, some, on"
blocks.0.ff_or_moe,34,0.3335,0.4497,"by, from, on, in, to, for, with, at, as, after, during, and, ,, through, of, ., (, that, over, when"
blocks.0.ff_or_moe,35,0.4615,0.3922,"ships, port, naval, cargo, fighter, steam, aircraft, fleet, squadron, vessels, gun, guns, engine, artillery, passenger, armoured, cannon, warships, shipping, vessel"
blocks.0.ff_or_moe,36,0.3701,0.3453,"pole, broadcast, television, record, live, guitar, audio, bass, recording, studio, digital, starring, recorded, airing, radio, animated, feature, release, mixed, aired"
blocks.0.ff_or_moe,37,0.4040,0.3881,"ry, generally, usually, very, often, already, reportedly, always, somewhat, finally, ably, probably, perhaps, initially, frequently, normally, ently, sometimes, actually, apparently"
blocks.0.ff_or_moe,38,0.2405,0.4324,"his, he, and, that, ., ,, was, himself, the, in, ', her, as, of, He, with, to, it, —, on"
blocks.0.ff_or_moe,39,0.3167,0.4305,"on, at, in, was, it, to, and, as, ,, for, had, with, is, under, of, from, after, a, "", during"
blocks.0.ff_or_moe,40,0.2408,0.4152,"a, an, one, another, the, in, at, two, on, that, to, three, ,, as, and, his, of, part, re, her"
blocks.0.ff_or_moe,41,0.2648,0.4427,",, and, (, ;, ., he, in, or, —, for, with, was, that, to, :, of, she, The, on, but"
blocks.0.ff_or_moe,42,0.3076,0.4188,"ter, and, ., in, as, ,, on, at, by, but, with, "", (, to, for, over, or, that, of, during"
blocks.0.ff_or_moe,43,0.1843,0.3752,"is, are, has, was, may, as, can, does, have, in, and, it, ', also, (, were, begins, at, of, will"
blocks.0.ff_or_moe,44,0.2427,0.3420,"Dr, media, year, poll, Award, Post, Year, chapter, award, News, book, Times, Journal, List, Guardian, Awards, D, In, post, group"
blocks.0.ff_or_moe,45,0.2561,0.2934,"ed, mass, era, system, star, type, level, ing, equal, motion, core, mode, method, feature, status, use, size, classification, limit, build"
blocks.0.ff_or_moe,46,0.1809,0.3807,"close, ly, led, to, and, sing, in, with, "", from, for, under, as, on, by, that, ., ,, back, two"
blocks.0.ff_or_moe,47,0.1441,0.3485,"small, black, white, local, first, young, large, second, third, individual, two, main, former, male, new, Soviet, female, short, three, early"
blocks.0.ff_or_moe,48,0.2965,0.4714,",, –, ;, and, —, ., (, to, -, with, in, :, but, that, for, "",, as, of, by, '"
blocks.0.ff_or_moe,49,0.3090,0.4467,",, and, to, ., as, that, ;, for, with, under, —, but, in, -, of, (, "", :, or, by"
blocks.0.ff_or_moe,50,0.3109,0.4414,"in, at, and, ,, "", as, over, of, with, was, to, by, for, but, had, after, on, ', or, while"
blocks.0.ff_or_moe,51,0.4716,0.2703,"moved, wind, temperature, moving, temperatures, flood, tornado, affected, clouds, observed, reng, cloud, closed, increased, winds, liest, severe, cold, gence, threatened"
blocks.0.ff_or_moe,52,0.2412,0.3730,"have, go, ., has, as, had, at, ,, are, and, were, in, that, on, one, to, the, under, (, -"
blocks.0.ff_or_moe,53,0.2709,0.4335,"the, a, his, an, The, in, one, her, at, "", as, on, to, ,, their, ., over, and, two, '"
blocks.0.ff_or_moe,54,0.1600,0.3325,"New, American, York, Jersey, prior, Mexico, British, America, Massachusetts, Zealand, California, Philadelphia, over, following, but, most, Americans, local, London, original"
blocks.0.ff_or_moe,55,0.3205,0.3855,"took, came, did, went, broke, became, helped, started, led, failed, played, passed, continued, appeared, ran, remained, must, fell, grew, joined"
blocks.0.ff_or_moe,56,0.1842,0.3295,"z, n, y, k, ig, os, u, ur, ak, ch, ne, am, w, us, lo, b, i, aw, ar, ot"
blocks.0.ff_or_moe,57,0.3150,0.4520,",, and, to, of, with, in, as, by, ;, that, for, -, after, —, at, but, "", from, on, under"
blocks.0.ff_or_moe,58,0.3166,0.4342,",, and, to, ., of, —, as, ;, in, for, that, with, over, at, after, but, under, was, on, -"
blocks.0.ff_or_moe,59,0.3941,0.2576,"Two, ball, ing, ring, ive, ear, hammer, ave, swear, iver, wear, ping, ming, nick, ock, rowing, fin, loose, shifting, steel"
blocks.0.ff_or_moe,60,0.3776,0.3167,"has, have, contains, includes, features, offers, continues, uses, does, include, begins, hosts, contain, makes, is, takes, holds, operates, remains, opens"
blocks.0.ff_or_moe,61,0.2391,0.2856,"par, Con, text, Old, fr, cre, fur, cor, bur, mar, cal, ph, sub, mo, sal, tr, fl, syn, bar, cur"
blocks.0.ff_or_moe,62,0.1758,0.4436,"these, their, this, many, all, them, they, any, some, both, every, its, it, other, most, her, our, what, each, everything"
blocks.0.ff_or_moe,63,0.1813,0.3299,"capital, support, light, fall, land, city, power, control, peace, place, aid, exchange, force, government, building, town, centre, work, space, storm"
blocks.0.ff_or_moe,64,0.2940,0.4191,"at, again, in, as, on, with, to, for, and, under, during, by, ., ,, was, -, over, had, after, or"
blocks.0.ff_or_moe,65,0.2087,0.3329,"side, half, life, island, hand, class, time, season, year, way, quarter, foot, hour, arc, day, years, step, days, week, sides"
blocks.0.ff_or_moe,66,0.3351,0.4246,"to, and, in, the, ., for, with, as, on, was, ,, of, that, not, at, or, -, into, a, by"
blocks.0.ff_or_moe,67,0.2578,0.4479,"., ""., ."", ;, )., and, ,, —, to, in, –, with, of, (, that, -, :, as, at, '"
blocks.0.ff_or_moe,68,0.2175,0.4092,"no, the, this, its, his, that, it, a, at, one, The, in, to, with, as, on, an, their, most, after"
blocks.0.ff_or_moe,69,0.1713,0.3552,"while, ending, during, through, because, following, after, alongside, before, including, left, serving, included, between, include, than, saw, when, throughout, ended"
blocks.0.ff_or_moe,70,0.1828,0.3024,"post, dis, personal, self, working, political, public, chief, mis, kind, short, hard, good, pro, general, fine, heart, lack, sort, lead"
blocks.0.ff_or_moe,71,0.2963,0.4233,"a, an, in, at, and, one, ., ,, on, of, to, with, by, for, as, had, or, part, two, re"
blocks.0.ff_or_moe,72,0.3169,0.4206,"as, it, that, for, or, to, with, in, at, by, on, after, and, from, "", a, an, ,, when, over"
blocks.0.ff_or_moe,73,0.1103,0.3232,"central, up, until, twice, throughout, apart, alone, through, as, itself, back, today, many, half, down, till, into, most, 50, at"
blocks.0.ff_or_moe,74,0.1995,0.3650,"also, being, would, are, can, have, made, may, will, which, is, were, could, has, then, be, was, make, became, had"
blocks.0.ff_or_moe,75,0.2835,0.4251,"the, in, and, had, on, with, that, over, at, to, "", of, ,, his, for, The, or, s, was, as"
blocks.0.ff_or_moe,76,0.3024,0.4297,"the, in, and, over, on, at, that, as, to, ,, for, his, with, of, or, had, after, "", ., about"
blocks.0.ff_or_moe,77,0.3389,0.4189,"over, and, in, "", the, at, ., as, under, ,, but, to, ', a, for, that, (, one, on, with"
blocks.0.ff_or_moe,78,0.1101,0.4035,"—, that, and, as, "", (, had, D, first, after, E, I, to, A, 20, with, were, way, was, ‍"
blocks.0.ff_or_moe,79,0.0966,0.2912,"age, cost, code, machine, ages, crew, gran, war, pre, ut, ill, time, rate, —, ., costs, of, and, cry, from"
blocks.0.ff_or_moe,80,0.3301,0.3140,"extended, %, percent, extend, %), states, extending, %),, but, expanded, He, minutes, adding, added, %,, extends, 90, 75, 60, although"
blocks.0.ff_or_moe,81,0.2939,0.4475,"N, and, in, ,, as, (, to, ', M, for, of, "", G, S, two, the, on, A, ., -"
blocks.0.ff_or_moe,82,0.1818,0.3611,"still, once, His, whose, not, now, allow, again, already, what, briefly, initially, originally, He, Its, no, instead, finally, never, avoid"
blocks.0.ff_or_moe,83,0.6136,0.2413,"Prop, sic, aran, ineas, inte, utter, Extension, aler, Directions, Philharmonic, conceal, amen, depending, eti, illes, %., evin, elle, iti, actin"
blocks.0.ff_or_moe,84,0.3500,0.3640,"General, George, Sir, William, John, Charles, Henry, Captain, James, Richard, Joseph, Battle, Colonel, Thomas, Robert, Bay, Lord, Marshal, Francis, Admiral"
blocks.0.ff_or_moe,85,0.2926,0.4410,"and, or, but, ,, ., (, while, in, as, to, -, ;, with, from, by, –, which, that, who, of"
blocks.0.ff_or_moe,86,0.3239,0.4299,"held, and, to, in, ., as, on, ,, had, (, that, for, was, after, at, of, "", from, with, or"
blocks.0.ff_or_moe,87,0.3742,0.2893,"found, divided, split, cut, highway, range, span, discovered, divide, figured, ranging, estimated, bore, dividing, keep, cutting, built, running, widening, ran"
blocks.0.ff_or_moe,88,0.0645,0.3256,"normal, consisted, es, others, get, according, on, have, go, many, usual, ts, with, three, let, other, The, not, at, had"
blocks.0.ff_or_moe,89,0.3552,0.4570,"of, to, and, in, "", ,, from, as, on, for, at, over, by, with, ., that, after, (, -, but"
blocks.0.ff_or_moe,90,0.2865,0.3753,"was, had, were, became, would, did, is, began, took, could, came, has, went, remained, received, are, started, have, appeared, continued"
blocks.0.ff_or_moe,91,0.4483,0.4657,"tour, college, football, school, sports, Association, sport, Academy, university, club, baseball, League, University, hockey, league, basketball, schools, Club, Baseball, Schools"
blocks.0.ff_or_moe,92,0.2610,0.3551,"series, band, single, group, book, track, song, number, album, sessions, show, singles, groups, variety, record, film, bands, game, duo, trio"
blocks.0.ff_or_moe,93,0.3316,0.0000,"), ),, ;, :, /, –, —, )., );, "",, ""), .), ""),, "";, ,"", ], ):, ..., ("", ?"
blocks.0.ff_or_moe,94,0.1256,0.3780,"about, described, He, written, early, a, the, an, and, "", on, for, only, one, by, to, but, K, his, two"
blocks.0.ff_or_moe,95,0.2187,0.4559,"., ""., ."", )., ;, ,, and, (, as, —, :, in, ', with, "",, ), ),, for, –, that"
blocks.0.ff_or_moe,96,0.4609,0.3470,"referred, felt, asked, looked, deemed, going, looking, said, listening, thought, feel, considers, wanted, asks, wished, feels, reads, listened, sings, commented"
blocks.0.ff_or_moe,97,0.3511,0.3312,"named, listed, starting, identified, placed, beginning, dating, credited, noted, naming, selected, designated, recognized, described, chosen, meaning, given, classified, formed, heim"
blocks.0.ff_or_moe,98,0.3378,0.3119,"ally, forward, ously, overall, ated, ative, ered, alpha, some, ability, ly, ively, back, ically, ous, ical, ized, ately, fully, atively"
blocks.0.ff_or_moe,99,0.0890,0.3095,"cast, past, coming, came, wreck, taken, casting, On, back, casts, He, half, just, previous, had, over, under, best, other, five"
blocks.0.ff_or_moe,100,0.2737,0.4253,"in, with, and, "", ., as, The, at, to, for, that, ,, the, on, after, He, two, first, or, '"
blocks.0.ff_or_moe,101,0.3509,0.4320,"States, summer, Kingdom, time, winter, years, spring, year, final, December, November, Nations, months, March, August, June, September, week, January, July"
blocks.0.ff_or_moe,102,0.5045,0.0000,""",, ,"", ""., ."", "";, ""),, ""), ..."", ."",, ),, ?"",, "")., ?"", ',, '"",, "":, .), !"", ;, !"","
blocks.0.ff_or_moe,103,0.5132,0.3132,"industrial, cultural, scientific, Greek, historical, religious, Jewish, Islamic, Arab, ological, economic, native, genetic, ogical, Muslim, trading, historic, agricultural, conservation, political"
blocks.0.ff_or_moe,104,0.0901,0.3432,"ian, id, en, improved, el, ak, op, c, ic, as, le, in, ians, ', ot, S, for, il, n, with"
blocks.0.ff_or_moe,105,0.2320,0.3745,"E, al, B, K, P, C, R, V, D, Al, Z, O, L, St, F, Y, J, Sh, H, W"
blocks.0.ff_or_moe,106,0.2561,0.4016,"it, and, after, was, in, ,, with, that, on, at, –, or, most, ., (, were, to, during, part, as"
blocks.0.ff_or_moe,107,0.2510,0.3126,"order, return, interview, decision, letter, run, line, move, attempt, place, plan, case, date, position, trip, article, appeal, death, effort, office"
blocks.0.ff_or_moe,108,0.3256,0.4713,"h, and, in, ,, ., to, as, "", (, with, -, on, of, from, but, ', a, after, one, for"
blocks.0.ff_or_moe,109,0.0547,0.3098,"principal, worth, £, $, work, over, dis, pre, to, great, new, later, around, highest, lead, time, five, six, post, that"
blocks.0.ff_or_moe,110,0.3498,0.4542,",, and, in, ., (, as, to, for, of, with, on, ;, at, "", ', or, but, -, that, —"
blocks.0.ff_or_moe,111,0.1827,0.3993,"for, when, while, after, before, during, where, between, off, around, through, because, who, against, about, from, which, since, though, but"
blocks.0.ff_or_moe,112,0.1634,0.3223,"northern, western, southern, fore, four, modern, much, eastern, two, six, ft, three, most, second, first, larger, highest, every, last, upper"
blocks.0.ff_or_moe,113,0.3140,0.3259,"British, No, agreed, French, German, Japanese, Chinese, December, Dutch, English, August, nearby, November, Spanish, May, February, Australian, July, January, September"
blocks.0.ff_or_moe,114,0.2302,0.4042,"was, were, had, is, and, became, of, did, in, would, ', as, the, has, for, be, to, came, with, ,"
blocks.0.ff_or_moe,115,0.3911,0.0000,"9, 6, 1, 5, 8, 3, 7, 2, 10, 4, 12, 13, 15, 20, $, 11, 30, 22, 25, 14"
blocks.0.ff_or_moe,116,0.5622,0.2478,"Finn, Flanders, Baltic, Europe, Jones, Munich, Müller, asia, Today, Scharnhorst, recovering, holm, feldt, iland, Canada, Simpson, mberg, Hastings, Pradesh, Sullivan"
blocks.0.ff_or_moe,117,0.1519,0.3878,""", "",, ,, ', ""..., to, first, for, as, in, ""[, and, ., (, only, ""., one, over, A, re"
blocks.0.ff_or_moe,118,0.2734,0.3245,"Mc, High, Air, State, Hill, Street, Park, Land, Lake, Bay, Wood, County, Field, Long, Beach, Flying, Law, Me, Rock, West"
blocks.0.ff_or_moe,119,0.3153,0.3720,"album, film, work, play, art, albums, works, novel, artist, book, production, movie, plays, opera, films, actor, drama, director, project, painting"
blocks.0.ff_or_moe,120,0.1774,0.3804,"), ),, )., ,, to, as, and, in, at, "", :, (, —, they, that, Trust, –, the, ., a"
blocks.0.ff_or_moe,121,0.5660,0.2677,"problems, difficulties, ions, ctions, ations, feelings, ibility, differences, changes, itism, advantages, ptions, decisions, ights, ments, aspects, controversy, theses, isms, theories"
blocks.0.ff_or_moe,122,0.3422,0.4350,"and, in, with, ,, to, as, ., (, for, that, was, on, but, of, the, "", had, at, a, D"
blocks.0.ff_or_moe,123,0.3226,0.4329,"on, in, to, and, ., at, as, ,, from, with, during, it, by, or, upon, for, (, a, was, of"
blocks.0.ff_or_moe,124,0.1849,0.4613,"that, to, and, ', (, In, ,, He, in, Re, E, for, of, as, I, or, As, V, he, n"
blocks.0.ff_or_moe,125,0.3522,0.4614,"of, and, (, with, in, on, to, as, from, -, ., for, ', was, ,, after, that, by, ;, –"
blocks.0.ff_or_moe,126,0.3080,0.4402,"in, on, as, for, at, during, to, from, with, by, and, after, present, that, ,, over, ., of, a, under"
blocks.0.ff_or_moe,127,0.3095,0.4417,",, and, of, in, with, for, ;, as, —, to, at, after, that, -, on, –, during, but, under, ."
blocks.0.ff_or_moe,128,0.3862,0.3130,"people, words, characters, ists, players, figures, artists, participants, fans, stars, pers, als, ites, individuals, deities, songs, ors, ets, scenes, things"
blocks.0.ff_or_moe,129,0.1941,0.4071,"the, its, their, his, a, her, an, it, this, other, one, three, two, that, more, first, all, "", in, both"
blocks.0.ff_or_moe,130,0.1930,0.3863,"had, as, have, has, was, "", were, and, (, in, all, at, the, N, C, of, ', only, first, which"
blocks.0.ff_or_moe,131,0.3590,0.4351,"a, an, in, to, at, one, with, of, as, and, ,, on, ., the, for, that, by, two, "", '"
blocks.0.ff_or_moe,132,0.0622,0.3363,"flight, /, ("", (, that, grade, –, most, and, :, about, or, 12, 10, so, after, n, half, "", several"
blocks.0.ff_or_moe,133,0.2833,0.4200,"a, an, one, in, and, the, of, at, to, two, on, with, under, ,, that, as, for, three, another, or"
blocks.0.ff_or_moe,134,0.3315,0.4468,"from, (, as, in, and, to, at, ,, by, ., for, with, on, of, during, after, through, under, but, that"
blocks.0.ff_or_moe,135,0.2926,0.4385,",, and, under, to, in, with, -, for, ;, at, as, but, —, of, –, after, over, ., during, that"
blocks.0.ff_or_moe,136,0.2716,0.4317,"out, for, down, up, to, in, off, and, ., on, as, ,, of, at, from, that, with, (, back, over"
blocks.0.ff_or_moe,137,0.3968,0.2669,"show, pass, ight, shows, ays, feed, ush, toss, channel, substitute, guide, call, cell, offer, passes, tender, act, portal, loan, connect"
blocks.0.ff_or_moe,138,0.1985,0.4156,"a, two, three, one, an, four, five, the, six, in, another, several, on, more, first, at, as, to, part, his"
blocks.0.ff_or_moe,139,0.2950,0.4261,",, and, in, with, as, to, for, ., by, at, ;, but, —, during, that, -, or, about, under, on"
blocks.0.ff_or_moe,140,0.1072,0.3753,"Ray, where, but, as, and, The, part, the, that, ', to, about, He, H, though, ,, D, one, had, L"
blocks.0.ff_or_moe,141,0.3590,0.3645,"began, attacked, sent, destroyed, launched, closed, stopped, captured, placed, killed, struck, started, unable, spotted, built, landed, fired, established, commissioned, used"
blocks.0.ff_or_moe,142,0.1047,0.3340,"s, d, m, n, t, ve, re, do, r, D, l, ', ll, An, ig, di, é, roy, ord, pre"
blocks.0.ff_or_moe,143,0.3133,0.4464,",, with, and, to, in, as, ;, for, but, at, that, of, on, —, ., after, by, –, "", under"
blocks.0.ff_or_moe,144,0.8900,0.2641,"ん, な, ्, い, り, ל, ו, ũ, א, र, ע, ب, UNC, bral, る, た, anor, ه, adal, ˠ"
blocks.0.ff_or_moe,145,0.2518,0.4204,"the, his, a, in, an, her, their, at, over, and, that, its, as, on, this, it, The, ,, "", to"
blocks.0.ff_or_moe,146,0.0765,0.3787,"Sn, with, as, son, and, S, 10, long, An, in, P, post, ,, so, took, L, later, after, s, that"
blocks.0.ff_or_moe,147,0.2808,0.3204,"U, bad, 1, Ten, 2, 9, 3, US, 5, 15, 4, 6, 8, 12, 10, United, 22, 11, 14, 30"
blocks.0.ff_or_moe,148,0.3332,0.4408,"in, of, as, and, at, on, to, during, for, ,, from, after, ., with, by, is, had, was, within, ("
blocks.0.ff_or_moe,149,0.0688,0.4030,"her, she, Her, She, herself, female, woman, his, from, The, high, women, male, were, one, first, when, the, full, video"
blocks.0.ff_or_moe,150,0.2918,0.4296,"away, or, to, and, in, from, on, into, at, with, ,, as, (, for, of, that, ., off, but, after"
blocks.0.ff_or_moe,151,0.3312,0.4379,"and, in, to, "", on, ,, M, with, ., that, the, as, was, for, a, had, after, (, by, from"
blocks.0.ff_or_moe,152,0.1206,0.3910,"were, are, was, had, have, did, on, for, the, took, 10, The, became, made, went, to, could, which, both, their"
blocks.0.ff_or_moe,153,0.2465,0.3946,"game, win, match, Virginia, tie, games, draw, there, day, victory, player, wins, Game, contest, Final, team, matches, first, try, play"
blocks.0.ff_or_moe,154,0.1158,0.3816,"without, how, with, as, to, into, on, after, shi, that, ..., but, [, under, from, back, their, where, in, not"
blocks.0.ff_or_moe,155,0.1696,0.3919,"they, them, as, their, and, that, ., to, on, in, not, with, these, ,, for, had, it, he, outside, many"
blocks.0.ff_or_moe,156,0.2143,0.3355,"video, introduced, previous, each, original, earlier, previously, series, gameplay, franchise, real, third, prior, videos, new, contemporary, James, combined, games, introducing"
blocks.0.ff_or_moe,157,0.2972,0.4156,"an, a, of, in, that, one, the, to, ., and, for, at, on, as, was, (, her, am, ,, their"
blocks.0.ff_or_moe,158,0.2204,0.4565,"He, and, of, His, "", in, ., ,, on, with, but, to, ', about, N, In, for, as, by, The"
blocks.0.ff_or_moe,159,0.2897,0.4178,"back, and, in, to, ,, of, "", ., on, but, at, with, for, re, that, first, as, ', from, only"
blocks.0.ff_or_moe,160,0.0980,0.4314,"one, ones, two, a, another, three, were, later, part, of, five, 1, second, are, the, their, One, In, ten, four"
blocks.0.ff_or_moe,161,0.2963,0.3302,"Square, high, significant, higher, direct, prominent, limited, those, safe, distinguished, important, low, deep, substantial, rare, widespread, highly, growing, primary, apparent"
blocks.0.ff_or_moe,162,0.1175,0.3720,"into, onto, about, his, himself, through, several, as, inside, back, to, throughout, within, upon, on, with, around, liqu, at, out"
blocks.0.ff_or_moe,163,0.1785,0.3629,"gr, Gr, cl, f, j, pl, Grand, dr, sh, car, Cap, Go, Cl, Ro, bl, br, fe, cr, der, Re"
blocks.0.ff_or_moe,164,0.3313,0.4203,"at, in, as, had, ., was, and, on, ,, to, for, (, -, with, is, were, under, ', he, the"
blocks.0.ff_or_moe,165,0.2558,0.4257,"G, in, ', and, M, "", N, ,, D, as, one, to, ., S, E, (, P, at, by, J"
blocks.0.ff_or_moe,166,0.3401,0.3254,"look, let, don, iber, sense, hair, sit, get, feel, ], bit, you, lot, say, feeling, dress, figure, mood, mind, lie"
blocks.0.ff_or_moe,167,0.2509,0.4144,"a, an, at, one, in, ., as, the, on, to, it, two, with, for, several, and, his, or, its, another"
blocks.0.ff_or_moe,168,0.3644,0.4513,"of, in, and, for, from, with, ,, that, -, to, on, at, ', as, (, ., by, or, which, after"
blocks.0.ff_or_moe,169,0.1855,0.4051,"a, an, one, another, two, the, three, his, in, at, part, four, more, it, as, its, re, that, several, first"
blocks.0.ff_or_moe,170,0.1439,0.3982,"–, similar, for, but, and, (, -, or, into, of, 9, later, around, just, during, ,, from, 8, in, that"
blocks.0.ff_or_moe,171,0.3398,0.4152,"character, Smith, child, father, mother, daughter, family, son, wife, brother, sister, children, officers, husband, house, friend, parents, friends, daughters, married"
blocks.0.ff_or_moe,172,0.3775,0.3651,"is, are, has, begins, can, does, appears, becomes, takes, continues, makes, gives, follows, comes, finds, starts, may, gets, goes, opens"
blocks.0.ff_or_moe,173,0.1750,0.3823,"She, ..., [, I, tag, He, Not, Up, The, In, It, But, More, Her, Now, [...], As, Just, All, S"
blocks.0.ff_or_moe,174,0.2971,0.3962,"fire, By, At, According, On, To, In, With, Meanwhile, After, When, As, For, During, From, fires, Following, The, Among, He"
blocks.0.ff_or_moe,175,0.3104,0.4408,",, and, to, with, ;, as, in, for, —, under, -, but, at, during, ., of, that, after, or, by"
blocks.0.ff_or_moe,176,0.0795,0.3038,"', ’, ',, made, E, had, character, held, found, wall, '., has, level, Sh, May, who, year, he, wanted, S"
blocks.0.ff_or_moe,177,0.3293,0.4401,"from, in, and, ,, (, for, to, on, of, ., "", that, the, as, with, was, by, ;, all, F"
blocks.0.ff_or_moe,178,0.2154,0.4117,"she, to, as, in, and, was, ., her, with, from, Ethan, that, ,, —, while, but, is, he, -, for"
blocks.0.ff_or_moe,179,0.2455,0.3240,"g, ic, ine, mon, id, op, ol, ap, om, é, oc, od, il, ty, ant, og, ut, ip, ver, ad"
blocks.0.ff_or_moe,180,0.1426,0.3472,"new, major, full, regular, three, great, minor, former, original, future, big, games, third, four, general, first, second, long, special, current"
blocks.0.ff_or_moe,181,0.2220,0.4170,"the, a, his, an, in, The, one, that, two, "", its, and, ,, it, over, first, their, at, her, '"
blocks.0.ff_or_moe,182,0.1531,0.3687,"man, Without, and, de, to, with, dis, had, by, was, in, is, he, men, ist, as, for, g, at, or"
blocks.0.ff_or_moe,183,0.3297,0.4411,"and, but, or, ,, in, while, as, to, (, ;, ., with, on, for, which, by, that, from, at, -"
blocks.0.ff_or_moe,184,0.3261,0.4187,"of, in, and, (, -, that, ,, from, ., for, which, "", ', at, or, was, had, all, on, as"
